Battle,belligerent,pos,Result,VorD
Battle_of_Kagul,Pyotr Rumyantsev,L,Decisive Russian victory,V
Battle_of_Kagul,Ivazzade Halil Pasha,R,Decisive Russian victory,D
Battle_of_Alamance,William Tryon,L,Decisive government victory,V
Battle_of_Alamance,Herman Husband,R,Decisive government victory,D
Battle_of_Point_Pleasant,Cornstalk,L,Virginian victory,V
Battle_of_Point_Pleasant,Blue Jacket,L,Virginian victory,V
Battle_of_Point_Pleasant,Andrew Lewis (soldier),R,Virginian victory,D
Battle_of_Point_Pleasant,Charles Lewis (soldier),R,Virginian victory,D
Battle_of_Point_Pleasant,Thomas Buford (captain),R,Virginian victory,D
Battle_of_Lexington_and_Concord,John Parker (captain),L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,Col. James Barrett Farm,L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,John Buttrick,L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,Lt. Col. John Robinson,L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,William Heath,L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,Joseph Warren,L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,Isaac Davis (soldier),L,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",V
Battle_of_Lexington_and_Concord,Francis Smith (British Army officer),R,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",D
Battle_of_Lexington_and_Concord,John Pitcairn,R,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",D
Battle_of_Lexington_and_Concord,"Hugh Percy, 2nd Duke of Northumberland",R,"Strategic American victory

British forces succeed in destroying cannon and supplies in Concord
Militia successfully drive British back to Boston
Start of the American Revolutionary War",D
Capture_of_Fort_Ticonderoga,Ethan Allen,L,Ticonderoga and Crown Point captured by New England militia,V
Capture_of_Fort_Ticonderoga,Benedict Arnold,L,Ticonderoga and Crown Point captured by New England militia,V
Capture_of_Fort_Ticonderoga,William Delaplace,R,Ticonderoga and Crown Point captured by New England militia,D
Battle_of_Machias,Jeremiah O'Brien,R,Patriot forces capture the HM schooner Margaretta,V
Battle_of_Bunker_Hill,William Prescott,L,Pyrrhic British victory[1][2],D
Battle_of_Bunker_Hill,Israel Putnam,L,Pyrrhic British victory[1][2],D
Battle_of_Bunker_Hill,Joseph Warren,L,Pyrrhic British victory[1][2],D
Battle_of_Bunker_Hill,John Stark,L,Pyrrhic British victory[1][2],D
Battle_of_Bunker_Hill,"William Howe, 5th Viscount Howe",R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,Thomas Gage,R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,"Robert Pigot, 2nd Baronet",R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,"James Abercrombie (British Army officer, born 1732)",R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,"Henry Clinton (British Army officer, born 1730)",R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,Samuel Graves,R,Pyrrhic British victory[1][2],V
Battle_of_Bunker_Hill,John Pitcairn,R,Pyrrhic British victory[1][2],V
Battle_of_Longue_Pointe,Ethan Allen,L,British victory,D
Battle_of_Longue_Pointe,"Guy Carleton, 1st Baron Dorchester",R,British victory,V
Siege_of_Fort_St._Jean,Richard Montgomery,L,Colonial victory,V
Siege_of_Fort_St._Jean,David Wooster,L,Colonial victory,V
Siege_of_Fort_St._Jean,James Livingston (American Revolution),L,Colonial victory,V
Siege_of_Fort_St._Jean,"Guy Carleton, 1st Baron Dorchester",R,Colonial victory,D
Siege_of_Fort_St._Jean,Charles Preston,R,Colonial victory,D
Battle_of_Great_Bridge,William Woodford,L,Colonial victory,V
Battle_of_Great_Bridge,Samuel Leslie,R,Colonial victory,D
Battle_of_Great_Bridge,Charles Fordyce,R,Colonial victory,D
Battle_of_Quebec_(1775),Richard Montgomery,L,"Decisive British victory [1]

End of American offensive operations in Canada",D
Battle_of_Quebec_(1775),Benedict Arnold,L,"Decisive British victory [1]

End of American offensive operations in Canada",D
Battle_of_Quebec_(1775),Daniel Morgan,L,"Decisive British victory [1]

End of American offensive operations in Canada",D
Battle_of_Quebec_(1775),James Livingston (American Revolution),L,"Decisive British victory [1]

End of American offensive operations in Canada",D
Battle_of_Quebec_(1775),"Guy Carleton, 1st Baron Dorchester",R,"Decisive British victory [1]

End of American offensive operations in Canada",V
Battle_of_Quebec_(1775),Allan Maclean of Torloisk,R,"Decisive British victory [1]

End of American offensive operations in Canada",V
Battle_of_Moore's_Creek_Bridge,James Moore (Continental Army officer),L,Patriot victory,V
Battle_of_Moore's_Creek_Bridge,Richard Caswell,L,Patriot victory,V
Battle_of_Moore's_Creek_Bridge,Alexander Lillington,L,Patriot victory,V
Battle_of_Moore's_Creek_Bridge,Donald MacDonald (British officer),R,Patriot victory,D
Battle_of_Moore's_Creek_Bridge,Donald McLeod (Loyalist),R,Patriot victory,D
Battle_of_the_Rice_Boats,Lachlan McIntosh,L,British tactical victory; Colonial strategic victory,D
Battle_of_The_Cedars,Benedict Arnold,R,"Tactical British victory
Strategically indecisive",D
Battle_of_Trois-Rivières,William Thompson (general),L,British victory,V
Battle_of_Trois-Rivières,Arthur St. Clair,L,British victory,D
Battle_of_Trois-Rivières,"Guy Carleton, 1st Baron Dorchester",R,British victory,V
Battle_of_Trois-Rivières,Simon Fraser of Balnain,R,British victory,V
Battle_of_Long_Island,George Washington,L,British victory[1],D
Battle_of_Long_Island,Israel Putnam,L,British victory[1],D
Battle_of_Long_Island,"William Alexander, Lord Stirling",L,British victory[1],D
Battle_of_Long_Island,Thomas Mifflin,L,British victory[1],D
Battle_of_Long_Island,Henry Knox,L,British victory[1],D
Battle_of_Long_Island,John Sullivan (general),L,British victory[1],D
Battle_of_Long_Island,"William Howe, 5th Viscount Howe",R,British victory[1],V
Battle_of_Long_Island,"Charles Cornwallis, 1st Marquess Cornwallis",R,British victory[1],V
Battle_of_Long_Island,"Henry Clinton (British Army officer, born 1730)",R,British victory[1],V
Battle_of_Long_Island,"Sir William Erskine, 1st Baronet",R,British victory[1],V
Battle_of_Long_Island,"James Grant (British Army officer, born 1720)",R,British victory[1],V
Battle_of_Long_Island,Charles Mawhood,R,British victory[1],V
Battle_of_Harlem_Heights,George Washington,L,American victory[1],V
Battle_of_Harlem_Heights,Thomas Knowlton,L,American victory[1],V
Battle_of_Harlem_Heights,Nathanael Greene,L,American victory[1],V
Battle_of_Harlem_Heights,Alexander Leslie (British Army officer),R,American victory[1],D
Battle_of_Harlem_Heights,"William Howe, 5th Viscount Howe",R,American victory[1],D
Battle_of_Valcour_Island,Benedict Arnold,L,"Tactical British victory
Strategic American victory.",D
Battle_of_Valcour_Island,"Guy Carleton, 1st Baron Dorchester",R,"Tactical British victory
Strategic American victory.",V
Battle_of_Valcour_Island,Thomas Pringle (Royal Navy officer),R,"Tactical British victory
Strategic American victory.",V
Battle_of_Pell's_Point,John Glover (general),L,"Tactical British victory
Strategic American retreat",V
Battle_of_Pell's_Point,"William Howe, 5th Viscount Howe",R,"Tactical British victory
Strategic American retreat",V
Battle_of_Pell's_Point,"Henry Clinton (British Army officer, born 1730)",R,"Tactical British victory
Strategic American retreat",V
Battle_of_White_Plains,George Washington,L,British victory,D
Battle_of_White_Plains,Alexander McDougall,L,British victory,D
Battle_of_White_Plains,Joseph Spencer,L,British victory,D
Battle_of_White_Plains,"William Howe, 5th Viscount Howe",R,British victory,V
Battle_of_Trenton,George Washington,L,Decisive American victory[1],V
Battle_of_Trenton,Nathanael Greene,L,Decisive American victory[1],V
Battle_of_Trenton,Johann Rall,R,Decisive American victory[1],D
Battle_of_Fort_Cumberland,Jonathan Eddy,L,British victory,D
Battle_of_Fort_Cumberland,Benoni Danks,L,British victory,D
Battle_of_Fort_Cumberland,Joseph Goreham,R,British victory,V
Battle_of_Fort_Cumberland,Thomas Dixson,R,British victory,V
Second_Battle_of_Trenton,George Washington,L,American victory[1],V
Second_Battle_of_Trenton,"Charles Cornwallis, 1st Marquess Cornwallis",R,American victory[1],D
Battle_of_Princeton,George Washington,L,American victory[1][2],V
Battle_of_Princeton,Hugh Mercer,L,American victory[1][2],V
Battle_of_Princeton,Alexander Hamilton,L,American victory[1][2],V
Battle_of_Princeton,Charles Mawhood,R,American victory[1][2],D
Battle_of_Princeton,"Charles Cornwallis, 1st Marquess Cornwallis",R,American victory[1][2],D
Battle_of_Bound_Brook,Benjamin Lincoln,L,British victory,D
Battle_of_Bound_Brook,"Charles Cornwallis, 1st Marquess Cornwallis",R,British victory,V
Siege_of_Fort_Ticonderoga_(1777),Arthur St. Clair,L,British victory,D
Siege_of_Fort_Ticonderoga_(1777),John Burgoyne,R,British victory,V
Siege_of_Fort_Ticonderoga_(1777),William Phillips (British Army officer),R,British victory,V
Battle_of_Oriskany,Nicholas Herkimer,L,"Anglo-Indian tactical victory
American strategic victory",D
Battle_of_Oriskany,Peter Gansevoort,L,"Anglo-Indian tactical victory
American strategic victory",D
Battle_of_Oriskany,"Sir John Johnson, 2nd Baronet",R,"Anglo-Indian tactical victory
American strategic victory",V
Battle_of_Oriskany,John Butler (pioneer),R,"Anglo-Indian tactical victory
American strategic victory",V
Battle_of_Oriskany,Joseph Brant,R,"Anglo-Indian tactical victory
American strategic victory",V
Battle_of_Bennington,John Stark,L,Strategic American victory,V
Battle_of_Bennington,Seth Warner,L,Strategic American victory,V
Battle_of_Bennington,Friedrich Baum,R,Strategic American victory,D
Battle_of_Bennington,Heinrich von Breymann,R,Strategic American victory,D
Battle_of_Brandywine,George Washington,L,British victory[1],D
Battle_of_Brandywine,Nathanael Greene,L,British victory[1],D
Battle_of_Brandywine,John Sullivan (general),L,British victory[1],D
Battle_of_Brandywine,"William Alexander, Lord Stirling",L,British victory[1],D
Battle_of_Brandywine,Adam Stephen,L,British victory[1],D
Battle_of_Brandywine,Anthony Wayne,L,British victory[1],D
Battle_of_Brandywine,Casimir Pulaski,L,British victory[1],D
Battle_of_Brandywine,Moses Hazen,L,British victory[1],D
Battle_of_Brandywine,"William Howe, 5th Viscount Howe",R,British victory[1],V
Battle_of_Brandywine,"Charles Cornwallis, 1st Marquess Cornwallis",R,British victory[1],V
Battle_of_Brandywine,Wilhelm von Knyphausen,R,British victory[1],V
Battle_of_1st_Saratoga,Horatio Gates,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,Benedict Arnold,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,Benjamin Lincoln,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,Enoch Poor,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,Ebenezer Learned,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,Daniel Morgan,L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,James Livingston (American Revolution),L,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",V
Battle_of_1st_Saratoga,John Burgoyne,R,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",D
Battle_of_1st_Saratoga,Simon Fraser of Balnain,R,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",D
Battle_of_1st_Saratoga,Friedrich Adolf Riedesel,R,"Freeman's Farm:

Pyrrhic British victory

Bemis Heights:

Decisive American victory
British surrender October 17",D
Battle_of_Germantown,George Washington,L,British victory[1],D
Battle_of_Germantown,Nathanael Greene,L,British victory[1],D
Battle_of_Germantown,John Sullivan (general),L,British victory[1],D
Battle_of_Germantown,"William Alexander, Lord Stirling",L,British victory[1],D
Battle_of_Germantown,William Smallwood,L,British victory[1],D
Battle_of_Germantown,Moses Hazen,L,British victory[1],D
Battle_of_Germantown,"William Howe, 5th Viscount Howe",R,British victory[1],V
Battle_of_Germantown,"Charles Cornwallis, 1st Marquess Cornwallis",R,British victory[1],V
Battle_of_Germantown,Wilhelm von Knyphausen,R,British victory[1],V
Battle_of_Crooked_Billet,John Lacey (general),L,British victory,D
Battle_of_Crooked_Billet,John Graves Simcoe,R,British victory,V
Battle_of_Crooked_Billet,Robert Abercromby of Airthrey,R,British victory,V
Battle_of_Monmouth,George Washington,L,Inconclusive,I
Battle_of_Monmouth,Charles Lee (general),L,Inconclusive,I
Battle_of_Monmouth,Henry Knox,L,Inconclusive,I
Battle_of_Monmouth,Nathanael Greene,L,Inconclusive,I
Battle_of_Monmouth,"Gilbert du Motier, Marquis de Lafayette",L,Inconclusive,I
Battle_of_Monmouth,"Henry Clinton (British Army officer, born 1730)",R,Inconclusive,I
Battle_of_Monmouth,"Charles Cornwallis, 1st Marquess Cornwallis",R,Inconclusive,I
Battle_of_Monmouth,Alexander Leslie (British Army officer),R,Inconclusive,I
Battle_of_Alligator_Bridge,James Screven,L,British victory,D
Battle_of_Alligator_Bridge,Jacques Marcus Prevost,R,British victory,V
Battle_of_Alligator_Bridge,Thomas Brown (loyalist),R,British victory,V
Battle_of_Ushant_(1778),"Augustus Keppel, 1st Viscount Keppel",L,Indecisive,I
Battle_of_Ushant_(1778),Hugh Palliser,L,Indecisive,I
Battle_of_Ushant_(1778),"Louis Guillouet, comte d'Orvilliers",R,Indecisive,I
Battle_of_Ushant_(1778),"Luc Urbain de Bouëxic, comte de Guichen",R,Indecisive,I
Battle_of_St._Lucia,Samuel Barrington,L,British victory,V
Battle_of_St._Lucia,"Charles Hector, comte d'Estaing",R,British victory,D
First_Battle_of_Tucson,Pedro Allande y Saabedra,L,Spanish victory,V
First_Battle_of_Tucson,Quilcho,R,Spanish victory,D
Battle_of_Kettle_Creek,John Boyd (Loyalist),L,United States victory,D
Battle_of_Kettle_Creek,Andrew Pickens (congressman),R,United States victory,V
Battle_of_Kettle_Creek,John Dooly,R,United States victory,V
Battle_of_Kettle_Creek,Elijah Clarke,R,United States victory,V
Battle_of_Vincennes,Henry Hamilton (governor),L,American victory,D
Battle_of_Vincennes,George Rogers Clark,R,American victory,V
Battle_of_Vincennes,Joseph Bowman,R,American victory,V
Battle_of_Brier_Creek,John Ashe (general),L,British victory,V
Battle_of_Brier_Creek,Samuel Elbert,L,British victory,V
Battle_of_Brier_Creek,Jacques Marcus Prevost,R,British victory,D
Battle_of_Grenada,John Byron,L,French victory[1],D
Battle_of_Grenada,"Charles Hector, comte d'Estaing",R,French victory[1],V
Battle_of_Stony_Point,Anthony Wayne,L,American victory,V
Battle_of_Stony_Point,Henry Johnson (American Revolutionary War),R,American victory,D
Battle_of_Paulus_Hook,Henry Lee III,L,American victory,V
Battle_of_Paulus_Hook,William Sutherland (British Army officer),R,American victory,D
Battle_of_Newtown,John Sullivan (general),L,American victory,V
Battle_of_Newtown,John Butler (pioneer),R,American victory,D
Battle_of_Newtown,Walter Butler (Loyalist),R,American victory,D
Battle_of_Newtown,Sayenqueraghta,R,American victory,D
Battle_of_Newtown,Cornplanter,R,American victory,D
Battle_of_Newtown,Joseph Brant,R,American victory,D
Battle_of_Fort_Bute,Bernardo de Gálvez,L,Spanish victory,V
Battle_of_Lake_Pontchartrain,William Pickles (American Revolution),L,Spanish-American victory,D
Battle_of_Baton_Rouge_(1779),Bernardo de Gálvez,L,Spanish victory,V
Battle_of_Baton_Rouge_(1779),Alexander Dickson (American War of Independence),R,Spanish victory,D
Siege_of_Savannah,Benjamin Lincoln,L,British victory,D
Siege_of_Savannah,Lachlan McIntosh,L,British victory,D
Siege_of_Savannah,"Charles Hector, comte d'Estaing",L,British victory,D
Siege_of_Savannah,Casimir Pulaski,L,British victory,D
Siege_of_Savannah,Curt von Stedingk,L,British victory,D
Siege_of_Savannah,"Maurice, Count de Benyovszky",L,British victory,D
Siege_of_Savannah,Augustine Prévost,R,British victory,V
Siege_of_Savannah,John Maitland (British Army officer),R,British victory,V
Battle_of_Cape_St._Vincent_(1780),"George Brydges Rodney, 1st Baron Rodney",L,British victory[1],V
Battle_of_Cape_St._Vincent_(1780),Juan de Lángara,R,British victory[1],D
Battle_of_Fort_Charlotte,Bernardo de Gálvez,L,Spanish victory,V
Battle_of_Fort_Charlotte,Elias Durnford,R,Spanish victory,D
Battle_of_Martinique_(1780),"George Brydges Rodney, 1st Baron Rodney",L,Indecisive[1][2][3],I
Battle_of_Martinique_(1780),"Luc Urbain de Bouëxic, comte de Guichen",R,Indecisive[1][2][3],I
Battle_of_Pollilur,William Baillie (East India Company officer),L,Mysore victory,D
Battle_of_Pollilur,Tipu Sultan,R,Mysore victory,V
Siege_of_Charleston,"Henry Clinton (British Army officer, born 1730)",L,"Strategic British victory

City surrendered to British",V
Siege_of_Charleston,"Charles Cornwallis, 1st Marquess Cornwallis",L,"Strategic British victory

City surrendered to British",V
Siege_of_Charleston,Alexander Leslie (British Army officer),L,"Strategic British victory

City surrendered to British",V
Siege_of_Charleston,Mariot Arbuthnot,L,"Strategic British victory

City surrendered to British",V
Siege_of_Charleston,Benjamin Lincoln,R,"Strategic British victory

City surrendered to British",D
Siege_of_Charleston,William Moultrie,R,"Strategic British victory

City surrendered to British",D
Siege_of_Charleston,James Hogun,R,"Strategic British victory

City surrendered to British",D
Siege_of_Charleston,William Woodford,R,"Strategic British victory

City surrendered to British",D
Siege_of_Charleston,Abraham Whipple,R,"Strategic British victory

City surrendered to British",D
Siege_of_Charleston,Louis Lebègue Duportail,R,"Strategic British victory

City surrendered to British",D
Battle_of_Saint_Louis,Fernando de Leyba,L,Spanish victory,V
Battle_of_Saint_Louis,Emanuel Hesse,R,Spanish victory,D
Battle_of_Saint_Louis,Matchekewis,R,Spanish victory,D
Battle_of_Saint_Louis,Wapasha I,R,Spanish victory,D
Battle_of_Springfield_(1780),Nathanael Greene,L,American victory,V
Battle_of_Springfield_(1780),Wilhelm von Knyphausen,R,American victory,D
Battle_of_Camden,"Charles Cornwallis, 1st Marquess Cornwallis",L,British victory,V
Battle_of_Camden,"Francis Rawdon-Hastings, 1st Marquess of Hastings",L,British victory,V
Battle_of_Camden,Horatio Gates,R,British victory,D
Battle_of_Camden,Johann de Kalb,R,British victory,D
Battle_of_Camden,"Charles Armand Tuffin, marquis de la Rouerie",R,British victory,D
Battle_of_Fishing_Creek,Thomas Sumter,L,British victory,D
Battle_of_Fishing_Creek,Banastre Tarleton,R,British victory,V
Battle_of_King's_Mountain,James Johnston (Colonel),L,Decisive Patriot victory,V
Battle_of_King's_Mountain,William Campbell (general),L,Decisive Patriot victory,V
Battle_of_King's_Mountain,John Sevier,L,Decisive Patriot victory,V
Battle_of_King's_Mountain,Frederick Hambright,L,Decisive Patriot victory,V
Battle_of_King's_Mountain,"Joseph McDowell, Jr.",L,Decisive Patriot victory,V
Battle_of_King's_Mountain,Benjamin Cleveland,L,Decisive Patriot victory,V
Battle_of_King's_Mountain,James Williams (Revolutionary War),L,Decisive Patriot victory,V
Battle_of_King's_Mountain,Isaac Shelby,L,Decisive Patriot victory,V
Battle_of_King's_Mountain,Joseph Winston,L,Decisive Patriot victory,V
Battle_of_King's_Mountain,Patrick Ferguson,R,Decisive Patriot victory,D
Battle_of_Mobile_(1781),Johann von Hanxleden,R,Spanish victory,V
Battle_of_Cowpens,Daniel Morgan,L,Decisive American victory,V
Battle_of_Cowpens,Banastre Tarleton,R,Decisive American victory,D
Battle_of_Guilford_Court_House,Nathanael Greene,L,Pyrrhic British victory[1],D
Battle_of_Guilford_Court_House,"Charles Cornwallis, 1st Marquess Cornwallis",R,Pyrrhic British victory[1],V
Battle_of_Porto_Praya,George Johnstone (Royal Navy officer),L,Tactical draw; French strategic victory,I
Battle_of_Porto_Praya,Pierre André de Suffren,R,Tactical draw; French strategic victory,I
Battle_of_Hobkirk's_Hill,Nathanael Greene,L,"Tactical British victory
Strategic American victory",D
Battle_of_Hobkirk's_Hill,"Francis Rawdon-Hastings, 1st Marquess of Hastings",R,"Tactical British victory
Strategic American victory",V
Battle_of_Fort_Royal,"Samuel Hood, 1st Viscount Hood",L,French victory[1],D
Battle_of_Fort_Royal,François Joseph Paul de Grasse,R,French victory[1],V
Battle_of_Pensacola_(1781),Bernardo de Gálvez,L,Decisive Franco-Spanish victory,V
Battle_of_Pensacola_(1781),Francisco de Miranda,L,Decisive Franco-Spanish victory,V
Battle_of_Pensacola_(1781),José Solano y Bote,L,Decisive Franco-Spanish victory,V
Battle_of_Pensacola_(1781),"John Campbell, of Strachur",R,Decisive Franco-Spanish victory,D
Battle_of_Dogger_Bank_(1781),"Sir Hyde Parker, 5th Baronet",L,"Tactically indecisive;
Strategic British victory[1]",I
Battle_of_Dogger_Bank_(1781),Johan Zoutman,R,"Tactically indecisive;
Strategic British victory[1]",I
Battle_of_the_Chesapeake,François Joseph Paul de Grasse,L,Decisive British victory[1],D
Battle_of_the_Chesapeake,"Thomas Graves, 1st Baron Graves",R,Decisive British victory[1],V
Battle_of_Groton_Heights,William Ledyard,L,Tactical British victory,D
Battle_of_Groton_Heights,Benedict Arnold,R,Tactical British victory,V
Battle_of_Groton_Heights,John Bazely,R,Tactical British victory,V
Battle_of_Eutaw_Springs,Nathanael Greene,L,"British tactical victory
American strategic victory",D
Battle_of_Eutaw_Springs,Alexander Stewart (British Army officer),R,"British tactical victory
American strategic victory",V
Battle_of_Yorktown_(1781),George Washington,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Benjamin Lincoln,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Henry Knox,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Alexander Hamilton,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),"Gilbert du Motier, Marquis de Lafayette",L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Friedrich Wilhelm von Steuben,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Thomas Nelson Jr.,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Moses Hazen,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),"Jean-Baptiste Donatien de Vimeur, comte de Rochambeau",L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),François Marie d'Aboville,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),Marquis de Choisy,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),François Joseph Paul de Grasse,L,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",V
Battle_of_Yorktown_(1781),"Charles Cornwallis, 1st Marquess Cornwallis",R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Yorktown_(1781),Charles O'Hara,R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Yorktown_(1781),Banastre Tarleton,R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Yorktown_(1781),Robert Abercromby of Airthrey,R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Yorktown_(1781),Thomas Dundas (British Army officer),R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Yorktown_(1781),Thomas Symonds,R,"Decisive Franco-American victory

End of major land operations in North America
Beginning of peace negotiations",D
Battle_of_Ushant_(1781),Richard Kempenfelt,L,British victory,V
Battle_of_Ushant_(1781),"Luc Urbain de Bouëxic, comte de Guichen",R,British victory,D
Second_Battle_of_Tucson,Pedro Allande y Saabedra,L,Spanish victory,V
Battle_of_St._Kitts,"Samuel Hood, 1st Viscount Hood",L,British tactical victory[1][2],V
Battle_of_St._Kitts,François Joseph Paul de Grasse,R,British tactical victory[1][2],D
Battle_of_Sadras,Edward Hughes (Royal Navy officer),L,French victory[1][2][3],D
Battle_of_Sadras,Pierre André de Suffren,R,French victory[1][2][3],V
Battle_of_the_Saintes,"George Brydges Rodney, 1st Baron Rodney",L,Decisive British victory[2][3],V
Battle_of_the_Saintes,"Samuel Hood, 1st Viscount Hood",L,Decisive British victory[2][3],V
Battle_of_the_Saintes,François Joseph Paul de Grasse,R,Decisive British victory[2][3],D
Battle_of_the_Saintes,Louis Antoine de Bougainville,R,Decisive British victory[2][3],D
Battle_of_Providien,Edward Hughes (Royal Navy officer),L,French victory[2],D
Battle_of_Providien,Pierre André de Suffren,R,French victory[2],V
Battle_of_Negapatam_(1782),Edward Hughes (Royal Navy officer),L,"Tactically indecisive[1]
British strategic victory[2][3][4]",I
Battle_of_Negapatam_(1782),Pierre André de Suffren,R,"Tactically indecisive[1]
British strategic victory[2][3][4]",I
Battle_of_Blue_Licks,John Todd (Virginia),L,Loyalist-Indian victory,D
Battle_of_Blue_Licks,Stephen Trigg,L,Loyalist-Indian victory,D
Battle_of_Blue_Licks,Daniel Boone,L,Loyalist-Indian victory,D
Battle_of_Blue_Licks,Robert Patterson (pioneer),L,Loyalist-Indian victory,D
Battle_of_Blue_Licks,William Caldwell (ranger),R,Loyalist-Indian victory,V
Battle_of_Blue_Licks,Alexander McKee,R,Loyalist-Indian victory,V
Battle_of_Blue_Licks,Simon Girty,R,Loyalist-Indian victory,V
Battle_of_Trincomalee,Edward Hughes (Royal Navy officer),L,French victory,D
Battle_of_Trincomalee,Pierre André de Suffren,R,French victory,V
Battle_of_Cuddalore_(1783),Edward Hughes (Royal Navy officer),L,French victory[1],D
Battle_of_Cuddalore_(1783),Pierre André de Suffren,R,French victory[1],V
Fourth_Battle_of_Tucson,Juan Carlos Carrillo,L,"Apache/Navajo victory, native American raid on livestock pen completed.",D
Fourth_Battle_of_Tucson,Chiquito (chief),R,"Apache/Navajo victory, native American raid on livestock pen completed.",V
Battle_of_Turnhout_(1789),Johann Gottfried Freiherr von Schröder,L,"Belgian victory

Austrian withdrawal from Belgium[1]
Creation of the United States of Belgium[2]",V
Battle_of_Turnhout_(1789),Jean-André van der Mersch,R,"Belgian victory

Austrian withdrawal from Belgium[1]
Creation of the United States of Belgium[2]",D
Battle_of_Fort_Wayne,Josiah Harmar,L,Miamis victory,D
Battle_of_Fort_Wayne,Little Turtle,R,Miamis victory,V
St._Clair's_Defeat,Little Turtle,L,Decisive Native American victory,V
St._Clair's_Defeat,Blue Jacket,L,Decisive Native American victory,V
