,Battle,Date,Location,Result,belligerent,opp,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
2913,Battle of the Lipara Islands,260 BC,"Lipara harbour, Sicily",Carthaginian victory,Gnaeus Cornelius Scipio Asina,20 ships,17 ships,R,D,,,,17.0,,
2914,Battle of the Lupia River,11 BC,"Lower Lippe River,  Germany",Roman victory,Nero Claudius Drusus,unknown,unknown,L,V,1.0,,,,,
2915,Battle of the Lycus,66 BC,"Lycus River, Ionia",Roman victory,Pompey,"c. 30,000 infantry [2] and 3,000 cavalry [3]","c. 50,000 [1]",L,V,50000.0,,,,,
2916,Battle of the Lycus,66 BC,"Lycus River, Ionia",Roman victory,Mithridates VI of Pontus,"c. 50,000 [1]","c. 30,000 infantry [2] and 3,000 cavalry [3]",R,D,30000.0,3000.0,,,,
2917,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Astyages,"50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls","120,000 to 200,000? cavalry,[1]
3,000 chariots[2]",L,D,,160000.0,,,,300.0
2918,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Medes,"50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls","120,000 to 200,000? cavalry,[1]
3,000 chariots[2]",L,D,,160000.0,,,,300.0
2919,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Harpagus,"50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls","120,000 to 200,000? cavalry,[1]
3,000 chariots[2]",L,D,,160000.0,,,,300.0
2920,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Cambyses I,"120,000 to 200,000? cavalry,[1]
3,000 chariots[2]","50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls",R,V,,50000.0,,,,100.0
2921,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Cyrus the Great,"120,000 to 200,000? cavalry,[1]
3,000 chariots[2]","50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls",R,V,,50000.0,,,,100.0
2922,Battle of the Median Border,551 BC?,"On the road between Ecbatana and Pasargadae,
on the Persian side of the border between Media and Persis",Tactical Persian victory,Oebares,"120,000 to 200,000? cavalry,[1]
3,000 chariots[2]","50,000 cavalry,[3]
100 chariots,[4]
unknown amount of peasants defending the city walls",R,V,,50000.0,,,,100.0
2923,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Togodumnus,"45,000","150,000",R,D,150000.0,,,,,
2924,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Caratacus,"45,000","150,000",R,D,150000.0,,,,,
2925,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Aulus Plautius,"150,000","45,000",L,V,45000.0,,,,,
2926,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Galba,"150,000","45,000",L,V,45000.0,,,,,
2927,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Titus Flavius Sabinus (consul AD 47),"150,000","45,000",L,V,45000.0,,,,,
2928,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Gnaeus Hosidius Geta,"150,000","45,000",L,V,45000.0,,,,,
2929,Battle of the Medway,43 (0043),"A river in south eastern England, probably in Kent",Roman victory,Vespasian,"150,000","45,000",L,V,45000.0,,,,,
2930,Battle of the Metaurus,207 BC,"Metaurus River, Marche, Italy",Decisive Roman victory,Marcus Livius Salinator,"~30,000:
(25,000 infantry and 5,000 cavalry) and 15 war elephants","~47,000:
(8 Roman legions plus Nero's reinforcements of 7,000)",R,V,47000.0,,,,,
2931,Battle of the Metaurus,207 BC,"Metaurus River, Marche, Italy",Decisive Roman victory,Gaius Claudius Nero,"~30,000:
(25,000 infantry and 5,000 cavalry) and 15 war elephants","~47,000:
(8 Roman legions plus Nero's reinforcements of 7,000)",R,V,47000.0,,,,,
2932,Battle of the Metaurus,207 BC,"Metaurus River, Marche, Italy",Decisive Roman victory,Porcius Licinus,"~30,000:
(25,000 infantry and 5,000 cavalry) and 15 war elephants","~47,000:
(8 Roman legions plus Nero's reinforcements of 7,000)",R,V,47000.0,,,,,
2933,Battle of the Metaurus,207 BC,"Metaurus River, Marche, Italy",Decisive Roman victory,Hasdrubal Barca,"~47,000:
(8 Roman legions plus Nero's reinforcements of 7,000)","~30,000:
(25,000 infantry and 5,000 cavalry) and 15 war elephants",L,D,30000.0,5000.0,,,,15.0
2934,Battle of the Muthul,108 BC,"near Muthul River, Numidia","Indecise [1]

Strategical Numidian victory
Roman retreat",Quintus Caecilius Metellus Numidicus,"20,000 men (light infantry, cavalry), 84 war elephants","35,000 infantry men",R,I,35000.0,,,,,
2935,Battle of the Muthul,108 BC,"near Muthul River, Numidia","Indecise [1]

Strategical Numidian victory
Roman retreat",Gaius Marius,"20,000 men (light infantry, cavalry), 84 war elephants","35,000 infantry men",R,I,35000.0,,,,,
2936,Battle of the Muthul,108 BC,"near Muthul River, Numidia","Indecise [1]

Strategical Numidian victory
Roman retreat",Jugurtha,"35,000 infantry men","20,000 men (light infantry, cavalry), 84 war elephants",L,I,20000.0,,,,,84.0
2937,Battle of the Muthul,108 BC,"near Muthul River, Numidia","Indecise [1]

Strategical Numidian victory
Roman retreat",Bomilcar (2nd century BC),"35,000 infantry men","20,000 men (light infantry, cavalry), 84 war elephants",L,I,20000.0,,,,,84.0
2938,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Ptolemy XIII Theos Philopator,"20,000","c. 20,000",R,D,20000.0,,,,,
2939,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Arsinoe IV of Egypt,"20,000","c. 20,000",R,D,20000.0,,,,,
2940,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Julius Caesar,"c. 20,000","20,000",L,V,20000.0,,,,,
2941,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Cleopatra,"c. 20,000","20,000",L,V,20000.0,,,,,
2942,Battle of the Nile (47 BC),47 BC,Nile Delta,Roman victory,Mithridates I of the Bosporus,"c. 20,000","20,000",L,V,20000.0,,,,,
2943,Battle of the Persian Gate,20 January 330 BC,"Persian Gate, near Persepolis",Macedonian victory,Alexander the Great,"700[2]
25,000(Curtius and Diodorus)- 40,000(Arrian)(ancient estimates)","17,000[1]
More than 14,000",L,V,17000.0,,,,,
2944,Battle of the Persian Gate,20 January 330 BC,"Persian Gate, near Persepolis",Macedonian victory,Craterus,"700[2]
25,000(Curtius and Diodorus)- 40,000(Arrian)(ancient estimates)","17,000[1]
More than 14,000",L,V,17000.0,,,,,
2945,Battle of the Persian Gate,20 January 330 BC,"Persian Gate, near Persepolis",Macedonian victory,Ptolemy I Soter,"700[2]
25,000(Curtius and Diodorus)- 40,000(Arrian)(ancient estimates)","17,000[1]
More than 14,000",L,V,17000.0,,,,,
2946,Battle of the Persian Gate,20 January 330 BC,"Persian Gate, near Persepolis",Macedonian victory,Ariobarzanes of Persis,"17,000[1]
More than 14,000","700[2]
25,000(Curtius and Diodorus)- 40,000(Arrian)(ancient estimates)",R,D,700.0,,,,,
2947,Battle of the Rhyndacus (1211),15 October 1211,Rhyndacus river,"Latin victory, Treaty of Nymphaeum",Henry of Flanders,,"275 knights and escorts, in total ca. 2,000[1]",R,V,2000.0,,,,,
2948,Battle of the Rhyndacus (1211),15 October 1211,Rhyndacus river,"Latin victory, Treaty of Nymphaeum",Theodore I Laskaris,"275 knights and escorts, in total ca. 2,000[1]",,L,D,1.0,,,,,
2949,Battle of the Rishki Pass,759,Stara Planina,Bulgarian victory,Vineh of Bulgaria,Very large army,Unknown,L,V,1.0,,,,,
2950,Battle of the Rishki Pass,759,Stara Planina,Bulgarian victory,Constantine V,Unknown,Very large army,R,D,1.0,,,,,
2951,Battle of the Sabis,57 BC,Gaul,Roman victory,Boduognatus,"About 42,000 men (8 legions with cavalry and auxiliaries)","75,000",R,D,75000.0,,,,,
2952,Battle of the Sabis,57 BC,Gaul,Roman victory,Julius Caesar,"75,000","About 42,000 men (8 legions with cavalry and auxiliaries)",L,V,42000.0,,,,,
2953,Battle of the Shirts,July 1544,"Laggan, north end of Loch Lochy (Laggen and Kinloch Lochy)
grid reference NN289967[1]
Coordinates: 57°1′49″N 4°49′8″W﻿ / ﻿57.03028°N 4.81889°W﻿ / 57.03028; -4.81889",Stalemate,Lord Lovat,500,300,L,I,30.0,,,,,
2954,Battle of the Silarus,212 BC,"near Silarus River (modern Sele River), Italy","Carthaginian victory

Destruction of Roman force",Hannibal,"16,000","25,000-30,000",L,V,27500.0,,,,,
2955,Battle of the Silarus,212 BC,"near Silarus River (modern Sele River), Italy","Carthaginian victory

Destruction of Roman force",Marcus Centenius Penula,"25,000-30,000","16,000",R,D,16000.0,,,,,
2956,Battle of the Solent,18-19 July 1545,"Solent channel, off the south coast of England",Inconclusive,Claude d'Annebault,"12,000 soldiers in 80 ships","30,000 soldiers in more than 200 ships",L,I,30000.0,,,200.0,,
2957,Battle of the Solent,18-19 July 1545,"Solent channel, off the south coast of England",Inconclusive,"John Dudley, 1st Duke of Northumberland","30,000 soldiers in more than 200 ships","12,000 soldiers in 80 ships",R,I,12000.0,,,80.0,,
2958,Battle of the Standard,22 August 1138,Cowton Moor near Northallerton in Yorkshire,English victory,David I of Scotland,"~10,000 men","~16,000 men",R,D,16000.0,,,,,
2959,Battle of the Standard,22 August 1138,Cowton Moor near Northallerton in Yorkshire,English victory,"William le Gros, 1st Earl of Albemarle","~16,000 men","~10,000 men",L,V,10000.0,,,,,
2960,Battle of the Stugna River,26 May 1093,Stugna River near Trepol',Cuman victory,Sviatopolk II of Kiev,unknown,unknown,L,D,1.0,,,,,
2961,Battle of the Stugna River,26 May 1093,Stugna River near Trepol',Cuman victory,Vladimir II Monomakh,unknown,unknown,L,D,1.0,,,,,
2962,Battle of the Stugna River,26 May 1093,Stugna River near Trepol',Cuman victory,Rostislav Vsevolodovich,unknown,unknown,L,D,1.0,,,,,
2963,Battle of the Ten Kings,c. 14th century BC[1],"Near Parusni River (modern Ravi), Punjab",Decisive Trtsu-Bharata victory,Vishvamitra,Unknown but less,"More than 6,666",R,D,6666.0,,,,,
2964,Battle of the Ten Kings,c. 14th century BC[1],"Near Parusni River (modern Ravi), Punjab",Decisive Trtsu-Bharata victory,Sudas,"More than 6,666",Unknown but less,L,V,1.0,,,,,
2965,Battle of the Ten Kings,c. 14th century BC[1],"Near Parusni River (modern Ravi), Punjab",Decisive Trtsu-Bharata victory,Vashistha,"More than 6,666",Unknown but less,L,V,1.0,,,,,
2966,Battle of the Teutoburg Forest,"circa September, 9 C.E.","Osnabrück County, Lower Saxony","Decisive Germanic victory.
Roman Empire's strategic withdrawal from Magna Germania.",Arminius,"20,000–max.36,000","Unknown, but estimates range from 12,000–32,000.",L,V,22000.0,,,,,
2967,Battle of the Teutoburg Forest,"circa September, 9 C.E.","Osnabrück County, Lower Saxony","Decisive Germanic victory.
Roman Empire's strategic withdrawal from Magna Germania.",Publius Quinctilius Varus,"Unknown, but estimates range from 12,000–32,000.","20,000–max.36,000",R,D,20000.0,,,,,
2968,Battle of the Teutoburg Forest,"circa September, 9 C.E.","Osnabrück County, Lower Saxony","Decisive Germanic victory.
Roman Empire's strategic withdrawal from Magna Germania.",Suicide,"Unknown, but estimates range from 12,000–32,000.","20,000–max.36,000",R,D,20000.0,,,,,
2969,Battle of the Thirty,26 March 1351,Brittany,Franco-Breton victory,Jean de Beaumanoir,30 knights and squires,30 knights and squires,L,V,30.0,,,,,
2970,Battle of the Thirty,26 March 1351,Brittany,Franco-Breton victory,Robert Bemborough,30 knights and squires,30 knights and squires,R,D,30.0,,,,,
2971,Battle of the Ticinus,"November, 218 BC","Right bank of lower Ticino River, present-day Italy",Carthaginian victory,Publius Cornelius Scipio,"6,000 cavalry","3,100 cavalry
7,200 velites",R,D,7200.0,3100.0,,,,
2972,Battle of the Ticinus,"November, 218 BC","Right bank of lower Ticino River, present-day Italy",Carthaginian victory,Hannibal,"3,100 cavalry
7,200 velites","6,000 cavalry",L,V,,6000.0,,,,
2973,Battle of the Trebia,"Winter solstice, December 218 BC","Trebbia River, present-day Italy",Carthaginian victory,Tiberius Sempronius Longus (consul 218 BC),"40,000 men:
(21,000 heavy infantry, 8,000 light infantry, 11,000 cavalry, 37 war elephants)","42,000 men:
(18,000 Roman infantry, 20,000 Italian allies, 4,000 cavalry)",R,D,38000.0,4000.0,,,,
2974,Battle of the Trebia,"Winter solstice, December 218 BC","Trebbia River, present-day Italy",Carthaginian victory,Hannibal,"42,000 men:
(18,000 Roman infantry, 20,000 Italian allies, 4,000 cavalry)","40,000 men:
(21,000 heavy infantry, 8,000 light infantry, 11,000 cavalry, 37 war elephants)",L,V,29000.0,11000.0,,,,37.0
2975,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Abu Sufyan ibn Harb,"3,000[3]","10,000[3]",R,D,10000.0,,,,,
2976,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Muhammad,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2977,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Abu Bakr,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2978,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Umar,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2979,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Uthman,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2980,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Ali,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2981,Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Surrounding perimeter of Medina,"Failure of siege; decisive Muslim victory.
The withdrawal of the confederate tribes.",Salman the Persian,"10,000[3]","3,000[3]",L,V,3000.0,,,,,
2982,Battle of the Upper Baetis,211 BC,"Near Upper Baetis (modern-day Guadalquivir) River, Spain",Carthaginian victory,Publius Cornelius Scipio,"Total: 48,500,
35,000 infantry,
3,000+ cavalry,
3,000 Numidians,
7,500 Iberian tribals,","Total: 53,000,
30,000 infantry,
3,000 cavalry,
20,000 Celt-Iberian mercenaries",R,D,50000.0,3000.0,,,,
2983,Battle of the Upper Baetis,211 BC,"Near Upper Baetis (modern-day Guadalquivir) River, Spain",Carthaginian victory,Gnaeus Cornelius Scipio Calvus,"Total: 48,500,
35,000 infantry,
3,000+ cavalry,
3,000 Numidians,
7,500 Iberian tribals,","Total: 53,000,
30,000 infantry,
3,000 cavalry,
20,000 Celt-Iberian mercenaries",R,D,50000.0,3000.0,,,,
2984,Battle of the Upper Baetis,211 BC,"Near Upper Baetis (modern-day Guadalquivir) River, Spain",Carthaginian victory,Hasdrubal Barca,"Total: 53,000,
30,000 infantry,
3,000 cavalry,
20,000 Celt-Iberian mercenaries","Total: 48,500,
35,000 infantry,
3,000+ cavalry,
3,000 Numidians,
7,500 Iberian tribals,",L,V,45500.0,3000.0,,,,
2985,Battle of the Upper Baetis,211 BC,"Near Upper Baetis (modern-day Guadalquivir) River, Spain",Carthaginian victory,Mago Barca,"Total: 53,000,
30,000 infantry,
3,000 cavalry,
20,000 Celt-Iberian mercenaries","Total: 48,500,
35,000 infantry,
3,000+ cavalry,
3,000 Numidians,
7,500 Iberian tribals,",L,V,45500.0,3000.0,,,,
2986,Battle of the Upper Baetis,211 BC,"Near Upper Baetis (modern-day Guadalquivir) River, Spain",Carthaginian victory,Hasdrubal Gisco,"Total: 53,000,
30,000 infantry,
3,000 cavalry,
20,000 Celt-Iberian mercenaries","Total: 48,500,
35,000 infantry,
3,000+ cavalry,
3,000 Numidians,
7,500 Iberian tribals,",L,V,45500.0,3000.0,,,,
2987,Battle of the Utus,447,"near Vit river, Bulgaria",Hunnic victory,Arnegisclus,unknown,unknown,L,D,1.0,,,,,
2988,Battle of the Utus,447,"near Vit river, Bulgaria",Hunnic victory,Attila,unknown,unknown,R,V,1.0,,,,,
2989,Battle of the Volturnus (554),October 554,"Volturno River, Italy",Decisive Byzantine victory,Narses,"20,000 men[1]
(originally 30,000 men)[1]","18,000 men[1]",L,V,18000.0,,,,,
2990,Battle of the Vorskla River,"August 12, 1399",Vorskla River (now located in Ukraine),Decisive Tatar victory,Edigu,"50 princes 38,000","90,000",L,V,90000.0,,,,,
2991,Battle of the Vorskla River,"August 12, 1399",Vorskla River (now located in Ukraine),Decisive Tatar victory,Temür Qutlugh,"50 princes 38,000","90,000",L,V,90000.0,,,,,
2992,Battle of the Vorskla River,"August 12, 1399",Vorskla River (now located in Ukraine),Decisive Tatar victory,Vytautas,"90,000","50 princes 38,000",R,D,38000.0,,,,,
2993,Battle of the Vorskla River,"August 12, 1399",Vorskla River (now located in Ukraine),Decisive Tatar victory,Tokhtamysh,"90,000","50 princes 38,000",R,D,38000.0,,,,,
2994,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Germanicus,Unknown,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",L,V,40000.0,,,,,
2995,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Flavus (son of Segimerus),Unknown,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",L,V,40000.0,,,,,
2996,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Chariovalda,Unknown,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",L,V,40000.0,,,,,
2997,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Arminius,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",Unknown,R,D,1.0,,,,,
2998,Battle of the Weser River,16 AD,"On the Weser River, Germania",Roman victory,Inguiomer,"8 legions
Gallic and Germanic Auxiliaries
2 Praetorian cohorts[1]",Unknown,R,D,1.0,,,,,
2999,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Richomeres,unknown,unknown,L,I,1.0,,,,,
3000,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Profuturus,unknown,unknown,L,I,1.0,,,,,
3001,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Traianus (magister peditum),unknown,unknown,L,I,1.0,,,,,
3002,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Fritigern,unknown,unknown,R,I,1.0,,,,,
3003,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Sueridas,unknown,unknown,R,I,1.0,,,,,
3004,Battle of the Willows,377,"Ad Salices (exact unknown), in Moesia, Bulgaria",Draw,Colias,unknown,unknown,R,I,1.0,,,,,
3005,Battle of the Yellow Ford,14 August 1598,"near river Blackwater, County Armagh
54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696Coordinates: 54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696",Irish victory,"Hugh O'Neill, Earl of Tyrone","~4,000","~5,000",L,V,5000.0,,,,,
3006,Battle of the Yellow Ford,14 August 1598,"near river Blackwater, County Armagh
54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696Coordinates: 54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696",Irish victory,Hugh Roe O'Donnell,"~4,000","~5,000",L,V,5000.0,,,,,
3007,Battle of the Yellow Ford,14 August 1598,"near river Blackwater, County Armagh
54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696Coordinates: 54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696",Irish victory,Hugh Maguire (Lord of Fermanagh),"~4,000","~5,000",L,V,5000.0,,,,,
3008,Battle of the Yellow Ford,14 August 1598,"near river Blackwater, County Armagh
54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696Coordinates: 54°24′22″N 6°41′46″W﻿ / ﻿54.406°N 6.696°W﻿ / 54.406; -6.696",Irish victory,Henry Bagenal,"~5,000","~4,000",R,D,4000.0,,,,,
3009,Battle of Thebes,"December, 335 BC","City of Thebes in Boeotia, Greece",Macedonian victory.,Alexander the Great,"36,000","30,000 foot, 3,000 cavalry[1]",L,V,30000.0,3000.0,,,,
3010,Battle of Thermopylae,"20 August[1] or 8–10 September,[2] 480 BC","Thermopylae, Greece
38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E﻿ / 38.796607; 22.536714",Persian victorya[›],Xerxes I,"Total
5,200 (or 6100) + the Locrians (Herodotus)
7,400+ (Diodorus)
11,200 (Pausanias)
7,000 (modern est.)[3][4]","2,124,000 (Herodotus)[5]
120,000–300,000 (modern est.)b[›][6]",R,V,180000.0,,,,,
3011,Battle of Thermopylae,"20 August[1] or 8–10 September,[2] 480 BC","Thermopylae, Greece
38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E﻿ / 38.796607; 22.536714",Persian victorya[›],Mardonius,"Total
5,200 (or 6100) + the Locrians (Herodotus)
7,400+ (Diodorus)
11,200 (Pausanias)
7,000 (modern est.)[3][4]","2,124,000 (Herodotus)[5]
120,000–300,000 (modern est.)b[›][6]",R,V,180000.0,,,,,
3012,Battle of Thermopylae,"20 August[1] or 8–10 September,[2] 480 BC","Thermopylae, Greece
38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E﻿ / 38.796607; 22.536714",Persian victorya[›],Hydarnes II,"Total
5,200 (or 6100) + the Locrians (Herodotus)
7,400+ (Diodorus)
11,200 (Pausanias)
7,000 (modern est.)[3][4]","2,124,000 (Herodotus)[5]
120,000–300,000 (modern est.)b[›][6]",R,V,180000.0,,,,,
3013,Battle of Thermopylae,"20 August[1] or 8–10 September,[2] 480 BC","Thermopylae, Greece
38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E﻿ / 38.796607; 22.536714",Persian victorya[›],Leonidas I,"2,124,000 (Herodotus)[5]
120,000–300,000 (modern est.)b[›][6]","Total
5,200 (or 6100) + the Locrians (Herodotus)
7,400+ (Diodorus)
11,200 (Pausanias)
7,000 (modern est.)[3][4]",L,D,7000.0,,,,,
3014,Battle of Thermopylae,"20 August[1] or 8–10 September,[2] 480 BC","Thermopylae, Greece
38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E﻿ / 38.796607; 22.536714",Persian victorya[›],Demophilus of Thespiae,"2,124,000 (Herodotus)[5]
120,000–300,000 (modern est.)b[›][6]","Total
5,200 (or 6100) + the Locrians (Herodotus)
7,400+ (Diodorus)
11,200 (Pausanias)
7,000 (modern est.)[3][4]",L,D,7000.0,,,,,
3015,Battle of Thermopylae (191 BC),191 BC,Thermopylae,Decisive Roman victory,Manius Acilius Glabrio (consul 191 BC),"10,500 and some allies","22,000 and a few elephants",L,V,22000.0,,,,,10.0
3016,Battle of Thermopylae (191 BC),191 BC,Thermopylae,Decisive Roman victory,Antiochus III the Great,"22,000 and a few elephants","10,500 and some allies",R,D,10500.0,,,,,
3017,Battle of Thoppigala,25 April – 11 July 2007,"Thoppigala, Sri Lanka",Sri Lankan Army victory,Sarath Fonseka,"around 1,000","around 1,200",L,V,1200.0,,,,,
3018,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Croesus,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3019,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Lydia,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3020,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Artacamas,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3021,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Phrygia,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3022,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Aribaeus,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3023,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Cappadocia,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3024,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Aragdus,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3025,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Arabian Peninsula,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
3026,Battle of Thymbra,"December, 547 BC","Thymbra (Modern day Hanaï Tepeh), Lydia",Decisive Persian victory.,Gabaedus,"196,000 (Xenophon)
700 chariots
(300 engaged),
5-6 siege towers
(Xenophon)","420,000 (Xenophon)
300 chariots
(Xenophon)",L,D,420000.0,,,,,300.0
