Battle,Date,belligerent,own,pos,VorD,Infantry,Cavalry,Artillery,Ships,Airforce,Special
Battle of Wei River,204 BC,Long Ju,"200,000",R,D,,,,,,
Battle of Wesenberg (1268),"February 18, 1268",Otto von Lutterberg,"25,000[4]-30,000[6] troops",R,I,,,,,,
Battle of Wesenberg (1268),"February 18, 1268",Dmitry of Pereslavl,"16,000[4] — 30,000 troops[5]",L,I,,,,,,
Battle of Wisby,27 July 1361,Valdemar IV of Denmark,"2,000–2,500 men",L,V,,,,,,
Battle of Wofla,"August 28, 1542",Capital punishment,About 290 Portuguese musketeers   23 Ethiopian men,R,D,,,,,,
Battle of Wofla,"August 28, 1542",Ahmad ibn Ibrahim al-Ghazi,600–900 Adal musketeers   20 Adal horsemen   several thousand foot,L,V,,,,,,
Battle of Worringen,5 June 1288,Reginald I of Guelders,"4,200      2,800 armored cavalry   1,400 footmen",L,D,,,,,,
Battle of Worringen,5 June 1288,Geoffrey I of Vianden,"4,800      2,300 armored cavalry   2,500 footmen",R,V,,,,,,
Battle of Wuzhang Plains,April – Autumn of 234 CE,Guo Huai,"200,000",L,I,,,,,,
Battle of Xiakou,Spring of 203 CE,Ling Cao,Several thousands at most,L,I,,,,,,
Battle of Xiakou,Spring of 203 CE,Huang Zu,"30,000 at least",R,I,,,,,,
Battle of Xiangyang,1267–14 March 1273[1],Arikhgiya,"100,000 Mongols and Chinese   5,000 ships",R,V,,,,,,
Battle of Xiangyang,1267–14 March 1273[1],Lü Wenhuan,"at least 8,000 regular troops plus 200,000 residents",L,D,,,,,,
Battle of Xiaoting,221–222 CE,Liu Bei,"over 40,000[4][5] (excluding tribal forces from Wuling)",R,D,,,,,,
Battle of Xiaoting,221–222 CE,Lu Xun (Three Kingdoms),"≈50,000[2][3][4]",L,V,,,,,,
Battle of Xingshi,March - April 244 CE,Guo Huai,"60,000+[1]",L,D,,,,,,
Battle of Xingshi,March - April 244 CE,Fei Yi,"30,000 under Wang Ping and Liu Min   Unknown number of troops under Fei Yi",R,V,,,,,,
Battle of Xingyang (190),190 CE,Cao Cao,3000+,L,D,,,,,,
Battle of Xingyang (190),190 CE,Xu Rong (general),3000+,R,V,,,,,,
Battle of Yamazaki,"July 2, 1582",Kimura Shigeori,"20,000～40,000",R,V,,,,,,
Battle of Yamazaki,"July 2, 1582",Akechi Shigetomo,"10,000～16,000",L,D,,,,,,
Battle of Yamen,19 March 1279,Zhang Shijie,"200,000 people, mostly non-combatants - Song court officials and servants   1,000+ ships, mostly transport ships with warship escorts. Their actual fighting capacity of soldiers probably numbered in the tens of thousands.",L,D,,,,,,
Battle of Yamen,19 March 1279,Zhang Hongfan,"20,000 Chinese soldiers   50+ warships",R,V,,,,,,
Battle of Yan Province,194–195 CE,Zhang Miao,"over 10,000",R,I,,,,,,
Battle of Yanshi,5–6 October 618,Li Mi (Sui dynasty),"ca. 40,000",R,D,,,,,,
Battle of Yarmouk,15–20 August 636,Amru bin Ma'adi Yakrib,"15,000–20,000   (modern estimates)d[›]   24,000–40,000   (primary sources)e[›]",R,V,,,,,,
Battle of Yarmouk,15–20 August 636,"Gregory, Byzantine General","15,000–150,000   (modern estimates)a[›]   100,000–200,000   (primary Arab sources)c[›]   140,000   (primary Roman sources)b[›]",L,D,,,,,,
Battle of Yashima,"March 22, 1185",Minamoto no Yoshitsune,"100+ men, 140 ships",L,V,,,,,,
Battle of Yassıçemen,"Aug 10-12, 1230",Kayqubad I,"42,000",L,V,,,,,,
Battle of Yijing,198 – March 199,Yuan Shao,"100,000 (Xianyu Fu's and Wuhuan forces)[2]   7000 Xianbei cavalry",L,V,,,,,,
Battle of Yijing,198 – March 199,Zhang Yan (Han dynasty),"100,000+ (Zhang Yan's force)",R,D,,,,,,
Battle of Yiling (208),Winter of 208 CE,Cao Ren,"6,000 cavalry",R,D,,,,,,
Battle of Yiling (208),Winter of 208 CE,Zhou Yu,"31,000 (this number assumes there were no casualties for Eastern Wu in the battle of Red Cliffs)",L,V,,,,,,
Battle of Yique,293 BC,Bai Qi,"120,000",L,V,,,,,,
Battle of Yique,293 BC,Gongsun Xi,"240,000",R,D,,,,,,
Battle of Yiwulu,"February, 73",Geng Chong,"12,000 cavalries (Han regulars with Qiang and Southern Xiongnu auxiliaries)",R,V,,,,,,
Battle of Zab,"January 25, 750",Marwan II,"120,000 or 150,000[2]",R,D,,,,,,
Battle of Zagonara,28 July 1424,Alberico Novello da Barbiano,"8,000/9,000 cavalry, 3,000 infantry",R,D,,,,,,
Battle of Zagonara,28 July 1424,Filippo Maria Visconti,"4,000 cavalry, 4,000 infantry",L,V,,,,,,
Battle of Zama,"October 19, 202 BC",Hannibal,"40,000:   36,000 infantry   4,000 cavalry   80 war elephants[1]",R,D,,,,,,
Battle of Zama,"October 19, 202 BC",Masinissa,"35,100:   29,000 infantry   6,100 cavalry[1]",L,V,,,,,,
Battle of Zappolino,15 November 1325,Pope John XXII,"2,000 cavalry   30,000 infantry",R,V,,,,,,
Battle of Zatoka Świeża,"September 15, 1463",Ludwig von Erlichshausen,"44 ships   1,500 men",R,V,,,,,,
Battle of Zela,"August 2, 47 BC",Julius Caesar,"10,960",L,V,,,,,,
Battle of Zhizhi,"October–December, 36 BC",Gan Yanshou,"40,000 Han crossbowmen, small contingents of Han cavalry units, with Tarim Basin allies",R,V,,,,,,
Battle of Zhizhi,"October–December, 36 BC",Zhizhi Chanyu,"3,000 Xiongnu cavalry and infantry with 10,000 cavalry reinforcement from Kangju",L,D,,,,,,
Battle of Zhuolu,~2500 BC,Chiyou,"72 to 81 tribes, roughly guessed around 15,000 to 26,000",R,D,,,,,,
Battle of Zhuolu,~2500 BC,Yan Emperor,"some say 8,000 to 15,000",L,V,,,,,,
Battle of Zonchio,25 August 1499,Antonio Grimani,"47 galleys, 17 galliots, about 100 small vessels   [citation needed]",L,D,,,,,,
Battle of Zonchio,25 August 1499,Kemal Reis,"67 galleys, 20 galliots, about 200 small vessels   [citation needed]",R,V,,,,,,
Battle of al-Babein,"March 18, 1167",Amalric of Jerusalem,"374 knights, some horse archers",L,I,,,,,,
Battle of al-Qādisiyyah,16–19 November 636,Kanadbak,"80,000-200,000[5]   (medieval estimates)",L,D,,,,,,
Battle of al-Qādisiyyah,16–19 November 636,Sa`d ibn Abi Waqqas,"30,000[6]-40,000[7]",R,V,,,,,,
Battle of az-Zallaqah,23 October 1086,Alfonso VI of León and Castile,"2,500 according to western sources[2][3]   60,000-80,000 according to Muslim Andalusian sources[4]",L,D,,,,,,
Battle of az-Zallaqah,23 October 1086,Yusuf ibn Tashfin,"Reportedly 3 times larger than Castilian army according to western sources[5]   48,000 according to Muslim sources[6]",R,V,,,,,,
Battle of the Aegates Islands,10 March 241 BC,Valeria (gens),200 quinqueremes,L,V,,,,,,
Battle of the Aegates Islands,10 March 241 BC,"Hanno, son of Hannibal",250 ships,R,D,,,,,,
Battle of the Allia,"18 July 390 BC (traditional), 387 (probable)",Brennus (4th century BC),"The estimates are: 12,000,[8] more than 40,000.[9] and 30-70,000[10]",R,V,,,,,,
Battle of the Arar,58 BC,Julius Caesar,4 Roman legions,L,V,,,,,,
Battle of the Arius,208 BC,Antiochus III the Great,"10,000 lightly-armed Peltasts",L,V,,,,,,
Battle of the Arius,208 BC,Euthydemus I,"10,000 Cataphracts",R,D,,,,,,
Battle of the Axona,57 BC,Quintus Titurius Sabinus,"about 40,000 men (8 legions with cavalry and auxiliaries)",L,V,,,,,,
Battle of the Bagradas River (239 BC),Autumn 240 BC,Hamilcar Barca,"8,000 infantry, 2,000 cavalry, 70 elephants[2]",L,V,,,,,,
Battle of the Bagradas River (49 BC),"August 24, 49 BC",Gaius Scribonius Curio,2 legions   500 cavalry,L,D,,,,,,
Battle of the Bagradas River (49 BC),"August 24, 49 BC",Juba I of Numidia,3 legions   Numidian allies,R,V,,,,,,
Battle of the Camel,7 November 656,Zubayr ibn al-Awam,"~30,000[6]",R,D,,,,,,
Battle of the Camel,7 November 656,Qays ibn Sa'd,"~20,000[6]",L,V,,,,,,
Battle of the Crimissus,339 BC,Timoleon,"Plutarch:   5,000 infantry   1,000 cavalry   Diodorus Siculus:   12,000 total",L,V,,,,,,
Battle of the Eurymedon,469 or 466 BC,Pherendatis,200–350 ships,R,D,,,,,,
Battle of the Eurymedon,469 or 466 BC,Cimon,200 ships,L,V,,,,,,
Battle of the Forward Defence Lines,"January 2008 – May 18, 2009",Velupillai Prabhakaran,"7,000-17,000[1][2]",R,D,,,,,,
Battle of the Forward Defence Lines,"January 2008 – May 18, 2009",Sarath Fonseka,"50,000:   53 Division   55 Division   56 Division   57 Division   58 Division   59 Division   61 Division",L,V,,,,,,
Battle of the Frigidus,September 5 (0394-09-05)–6 394 (0394-09-07),Eugenius,"35,000-50,000/ About the same as Eastern Romans",R,D,,,,,,
Battle of the Frigidus,September 5 (0394-09-05)–6 394 (0394-09-07),Alaric I,"20,000-30,000 Romans   20,000 Goths[1]",L,V,,,,,,
Battle of the Golden Spurs,11 July 1302[1],"Robert II, Count of Artois","1,000 Pikemen[2]   1,000 Crossbowmen[2]   3,500 infantry[2]   2,500 nobles & knights[2]",R,D,,,,,,
Battle of the Golden Spurs,11 July 1302[1],William of Jülich,"9,000 men-at-arms[2]   400 nobles[2]",L,V,,,,,,
Battle of the Granicus,"May, 334 BC",Spithridates,"10,000-20,000 cavalry[1]   5,000-20,000 Greek hoplite mercenaries[1]   Total: 20,000-40,000",R,D,,,,,,
Battle of the Granicus,"May, 334 BC",Hegelochus of Macedon,"32,000 infantry (12,000 Macedonians, 7,000 other Greeks, 5,000 mercenaries, 7,000 Odrysians, Triballians and Illyrians, and 1,000 archers) and 5,100 Cavalry (1,800 Macedonians, 1,800 Thessalians, 600 other Greeks, and 900 Thracians and Paeonians)   Total: 37,100",L,V,,,,,,
Battle of the Gulf of Oman,10 to 25 August 1554,Seydi Ali Reis,15 galleys   1000 men[2],R,D,,,,,,
Battle of the Himera River (311 BC),311 BC,Hamilcar,"39,000 infantry,   1,000 Balearic slingers,   5,000 cavalry",L,V,,,,,,
Battle of the Himera River (311 BC),311 BC,Agathocles,Fewer troops (exact number unknown),R,D,,,,,,
Battle of the Hydaspes,May 326 BC,Porus,"20,000,[6] 30,000[7] or 50,000[8] infantry,   2,000[6] to 4,000[7] cavalry,   200,[7] 130[8] (""likeliest"" according to Green),[9] or 85[10] war elephants,   1,000 chariots.[11]",R,D,,,,,,
Battle of the Hydaspes,May 326 BC,Craterus,"40,000 infantry,   5,000[3] to 7,000[4] cavalry,   Asiatic contingents[5]",L,V,,,,,,
Battle of the Kodori Gorge,9–12 August 2008,Mikheil Saakashvili,"2,500 regulars[2]",R,D,,,,,,
Battle of the Kodori Gorge,9–12 August 2008,Vladimir Shamanov,"1,000 soldiers[1]",L,V,,,,,,
Battle of the Lipara Islands,260 BC,Gnaeus Cornelius Scipio Asina,17 ships,R,D,,,,,,
Battle of the Lipara Islands,260 BC,Hannibal Gisco,20 ships,L,V,,,,,,
Battle of the Lycus,66 BC,Pompey,"c. 50,000 [1]",L,V,,,,,,
Battle of the Lycus,66 BC,Mithridates VI of Pontus,"c. 30,000 infantry [2] and 3,000 cavalry [3]",R,D,,,,,,
Battle of the Median Border,551 BC?,Cambyses I,"50,000 cavalry,[3]   100 chariots [4] unknown amount of peasants defending the city walls",R,V,,,,,,
Battle of the Median Border,551 BC?,Medes,"120,000 to 200,000? cavalry,[1]   3,000 chariots[2]",L,D,,,,,,
Battle of the Metaurus,207 BC,Marcus Livius Salinator,"~47,000:   (8 Roman legions plus Nero's reinforcements of 7,000)",R,V,,,,,,
Battle of the Metaurus,207 BC,Hasdrubal Barca,"~30,000:   (25,000 infantry and 5,000 cavalry) and 15 war elephants",L,D,,,,,,
Battle of the Muthul,108 BC,Gaius Marius,"35,000 infantry men",R,I,,,,,,
Battle of the Muthul,108 BC,Bomilcar (2nd century BC),"20,000 men (light infantry, cavalry), 84 war elephants",L,I,,,,,,
Battle of the Persian Gate,20 January 330 BC,Alexander the Great,"17,000[1]   More than 14,000",L,V,,,,,,
Battle of the Persian Gate,20 January 330 BC,Ariobarzanes of Persis,"700[2]   25,000(Curtius and Diodorus)- 40,000(Arrian)(ancient estimates)",R,D,,,,,,
Battle of the Rhyndacus (1211),15 October 1211,Henry of Flanders,"275 knights and escorts, in total ca. 2,000[1]",R,V,,,,,,
Battle of the Rishki Pass,759,Constantine V,Very large army,R,D,,,,,,
Battle of the Sabis,57 BC,Julius Caesar,"About 42,000 men (8 legions with cavalry and auxiliaries)",L,V,,,,,,
Battle of the Sabis,57 BC,Boduognatus,"75,000",R,D,,,,,,
Battle of the Silarus,212 BC,Hannibal,"25,000-30,000",L,V,,,,,,
Battle of the Solent,18-19 July 1545,Claude d'Annebault,"30,000 soldiers in more than 200 ships",L,I,,,,,,
Battle of the Solent,18-19 July 1545,"John Dudley, 1st Duke of Northumberland","12,000 soldiers in 80 ships",R,I,,,,,,
Battle of the Standard,22 August 1138,David I of Scotland,"~16,000 men",R,D,,,,,,
Battle of the Standard,22 August 1138,"William le Gros, 1st Earl of Albemarle","~10,000 men",L,V,,,,,,
Battle of the Ten Kings,c. 14th century BC[1],Sudas,Unknown but less,L,V,,,,,,
Battle of the Ten Kings,c. 14th century BC[1],Vishvamitra,"More than 6,666",R,D,,,,,,
Battle of the Teutoburg Forest,"circa September, 9 C.E.",Suicide,"20,000–max.36,000:   3 Roman legions (XVII, XVIII/XIIX, and XIX/XVIIII);   3 alae;   6 auxiliary cohorts.",R,D,,,,,,
Battle of the Teutoburg Forest,"circa September, 9 C.E.",Arminius,"Unknown, but estimates range from 12,000–32,000.",L,V,,,,,,
Battle of the Thirty,26 March 1351,Jean de Beaumanoir,30 knights and squires,L,V,,,,,,
Battle of the Thirty,26 March 1351,Robert Bemborough,30 knights and squires,R,D,,,,,,
Battle of the Ticinus,"November, 218 BC",Hannibal,"6,000 cavalry",L,V,,,,,,
Battle of the Ticinus,"November, 218 BC",Publius Cornelius Scipio,"3,100 cavalry   7,200 velites",R,D,,,,,,
Battle of the Trebia,"Winter solstice, December 218 BC",Tiberius Sempronius Longus (consul 218 BC),"42,000 men:   (18,000 Roman infantry, 20,000 Italian allies, 4,000 cavalry)",R,D,,,,,,
Battle of the Trebia,"Winter solstice, December 218 BC",Hannibal,"40,000 men:   (21,000 heavy infantry, 8,000 light infantry, 11,000 cavalry, 37 war elephants)",L,V,,,,,,
Battle of the Trench,"Shawwal – Dhu al-Qi'dah, 5 AH (in the ancient (intercalated) Arabic calendar)[1] (January – February 627).",Abu Sufyan ibn Harb,"10,000[3]",R,D,,,,,,
Battle of the Upper Baetis,211 BC,Hasdrubal Gisco,"Total: 48,500,   35,000 infantry,   3,000+ cavalry,   3,000 Numidians,   7,500 Iberian tribals,",L,V,,,,,,
Battle of the Upper Baetis,211 BC,Publius Cornelius Scipio,"Total: 53,000,   30,000 infantry,   3,000 cavalry,   20,000 Celt-Iberian mercenaries",R,D,,,,,,
Battle of the Volturnus (554),October 554,Narses,"18,000 men[1]",L,V,,,,,,
Battle of the Vorskla River,"August 12, 1399",Vytautas,"50 princes 38,000",R,D,,,,,,
Battle of the Vorskla River,"August 12, 1399",Edigu,"90,000",L,V,,,,,,
Battle of the Weser River,16 AD,Flavus (son of Segimerus),8 legions   Gallic and Germanic Auxiliaries   2 Praetorian cohorts[1],L,V,,,,,,
Battle of the Yellow Ford,14 August 1598,Hugh Maguire (Lord of Fermanagh),"~5,000",L,V,,,,,,
Battle of the Yellow Ford,14 August 1598,Henry Bagenal,"~4,000",R,D,,,,,,
Battle of Çıldır,"August 9, 1578",Tokhmaq Khan Ustajlu,"25,000 Persians   7,000 Georgians",R,D,,,,,,
Battle of Öland (1563),"September 11, 1563",Jakob Bagge,18 ships,L,V,,,,,,
Battle of Öland (1563),"September 11, 1563",Frans Bilde,18 ships,R,D,,,,,,
Battle of Ümera,August or September 1210,Caupo of Turaida,"About 20 knights, unknown number of Livonian and Latgalian allies",L,D,,,,,,
Battle of Ērģeme,"August 2, 1560",Philipp Schall von Bell,330 knights,L,D,,,,,,
Battle of Świecino,"September 17, 1462",Kaspar Nostyc,"2,700",L,D,,,,,,
Battle on Lake Peipus,"April 5, 1242",Hermann of Dorpat,"2,600",R,D,,,,,,
Battle on the Zuiderzee,"October 11, 1573",Maximilien de Hénin-Liétard,30 ships   1300 sailors,R,D,,,,,,
Battle on the Zuiderzee,"October 11, 1573",Eighty Years' War,24 ships   700 sailors,L,V,,,,,,
Battle_at_Dervenakia,26–28 July 1822 (O.S.),Papaflessas,"8,000-10,000[1]",L,V,,,,,,
Battle_at_Dervenakia,26–28 July 1822 (O.S.),Mahmud Dramali Pasha,"20,000 including 8,000 cavalry[1]",R,D,,,,,,
Battle_at_Elvas,14 January 1659,"António Luís de Meneses, 1st Marquis of Marialva","10,500:[2]      8,000 infantry   2,500 cavalry   7 cannons",L,V,,,,,,
Battle_at_Elvas,14 January 1659,Luis Méndez de Haro,"17,500:      14,000 infantry[3]   3,500 cavalry[4]   19 cannons   3 mortars",R,D,,,,,,
Battle_at_the_Afsluitdijk,12–14 May 1940,Kurt Feldt,500+ soldiers (1st Cavalry Division)   69 aircraft   howitzers[1],R,D,,,,,,
Battle_at_the_Afsluitdijk,12–14 May 1940,Christiaan Boers,225 soldiers inside series of fortresses[1]   1 gunboat,L,V,,,,,,
Battle_for_The_Hague,10-May-40,Hans Graf von Sponeck,"3,000 paratroopers",R,D,,,,,,
Battle_for_The_Hague,10-May-40,Henri Winkelman,"11,100 soldiers (3 divisions)   2 armored car squads   4 bombers",L,V,,,,,,
Battle_for_the_Liberation_of_Manila,3 February – 3 March 1945,Sanji Iwabuchi,"12,500 Sailors and Marines   4,500 Soldiers[1]:73",R,D,,,,,,
Battle_for_the_Liberation_of_Manila,3 February – 3 March 1945,Alfredo M. Santos,"35,000 US troops   3,000 Filipino guerrillas",L,V,,,,,,
Battle_for_the_Recapture_of_Bataan,31 January – 21 February 1945,Rikichi Tsukada,"2,800 Japanese troops",R,D,,,,,,
Battle_for_the_Recapture_of_Bataan,31 January – 21 February 1945,Charles P. Hall,"35,000 US troops, Filipino guerillas",L,V,,,,,,
Battle_for_the_Recapture_of_Corregidor,16–26 February 1945,Edward M. Postlethwait,"7,000 US troops",L,V,,,,,,
Battle_for_the_Recapture_of_Corregidor,16–26 February 1945,Rikichi Tsukada,"6,700 Japanese troops",R,D,,,,,,
Battle_in_the_Bay_of_Matanzas,7 September–8 September 1628,Witte Corneliszoon de With,31 vessels,L,V,,,,,,
Battle_of_1st_Bull_Run,"July 21, 1861 (1861-07-21)",Winfield Scott,"Army of Northeastern Virginia:      35,732[5]   (c. 18,000 engaged)[6]      Patterson's Command:      14–18,000 (not engaged)",L,D,,,,,,
Battle_of_1st_Bull_Run,"July 21, 1861 (1861-07-21)",Jefferson Davis,"32–34,000[7]   (c. 18,000 engaged)[6]",R,V,,,,,,
Battle_of_1st_Saratoga,"September 19 and October 7, 1777",Benjamin Lincoln,"9,000 (first battle)[1]   over 12,000 (second battle)[2]   over 15,000 (at time of surrender)[3]",L,V,,,,,,
Battle_of_1st_Saratoga,"September 19 and October 7, 1777",John Burgoyne,"7,200 (first battle)[4]   6,600 (second battle)[2]",R,D,,,,,,
Battle_of_2nd_Bull_Run,"August 28–30, 1862[2]",John Pope (military officer),"77,000 (estimated):[7][8]      51,000 (Army of Virginia);[9]   26,000 (Army of the Potomac: III, V, VI, IX Corps; Kanawha Division);      62,000 engaged (estimated)[10]",L,D,,,,,,
Battle_of_2nd_Bull_Run,"August 28–30, 1862[2]",Robert E. Lee,"50,000[11]",R,V,,,,,,
Battle_of_Aachen,2–21 October 1944,First United States Army,"100,000 soldiers",L,,,,,,,
Battle_of_Aachen,2–21 October 1944,Gerhard Wilck,"13,000 soldiers   5,000 Volkssturm",R,D,,,,,,
Battle_of_Abensberg,20 April 1809,Dominique Vandamme,"55,000[1]",R,V,,,,,,
Battle_of_Abensberg,20 April 1809,Johann von Hiller,"42,000[1]",L,D,,,,,,
Battle_of_Aberdeen_(1644),13 September 1644,"Lewis Gordon, 3rd Marquess of Huntly","2,500 foot, 500 horse",R,D,,,,,,
Battle_of_Aberdeen_(1644),13 September 1644,Alasdair Mac Colla,"1,500 foot, 44 horse (cavalry)",L,V,,,,,,
Battle_of_Abonito_Pass,"May 8 – August 13, 1898",William T. Sampson,"15,472 [2]",R,I,,,,,,
Battle_of_Abonito_Pass,"May 8 – August 13, 1898",Manuel Macías y Casado,"Spain: 8,000   Puerto Rico: 10,000[2]",L,I,,,,,,
Battle_of_Abtao,"February 7, 1866",Manuel Ferreyros,1 frigate   2 corvettes   1 schooner,R,I,,,,,,
Battle_of_Abtao,"February 7, 1866",Claudio Alvargonzález Sánchez,2 frigates,L,I,,,,,,
Battle_of_Abu-Ageila_(1967),5–6 June 1967,Ariel Sharon,"14,000,   150 tanks (over 100 Centurions and Super Shermans with 105 mm guns, the rest were AMX-13s with 75 mm guns)",R,V,,,,,,
Battle_of_Abukir_(1799),25 July 1799,Murad Bey,"18,000[4]",R,D,,,,,,
Battle_of_Abukir_(1799),25 July 1799,Napoleon,"7,700[1][2]   Cavalry: 1,000[3]",L,V,,,,,,
Battle_of_Adairsville,"May 17, 1864 (1864-05-17)",William Tecumseh Sherman,"4,174",L,V,,,,,,
Battle_of_Adairsville,"May 17, 1864 (1864-05-17)",Joseph E. Johnston,"4,477",R,D,,,,,,
Battle_of_Adowa,1 March 1896,Tekle Haymanot of Gojjam,"80,000 armed with rifles [2][nb 1]   20,000 armed with spears and swords [2]   8,600 horses [2]   42 artillery pieces [4]",L,V,,,,,,
Battle_of_Adowa,1 March 1896,Giuseppe Ellena,"17,700 [5][6]   (^ Italians and Ascari)   56 artillery pieces [5]   (rifles and artillery - all antiquated) [4]",R,D,,,,,,
Battle_of_Adrianople_(1913),3 November 1912 – 26 March 1913,Nikola Ivanov,"106,425 Bulgarians (424 guns);[1]   47,275 Serbs (62 field guns, 34 howitzers)[2]",L,V,,,,,,
Battle_of_Adrianople_(1913),3 November 1912 – 26 March 1913,Mehmed Şükrü Pasha,"60,000[3] - 75,000[1] (Bulgarian claims)   52.597 (340 guns)[4][5]",R,D,,,,,,
Battle_of_Agosta,22 April 1676,Michiel de Ruyter,17 Dutch + 10 Spanish ships of the line[citation needed],L,D,,,,,,
Battle_of_Agosta,22 April 1676,Abraham Duquesne,29 ships of the line[citation needed],R,V,,,,,,
Battle_of_Al-Safra,1812,Saud bin Abdul-Aziz bin Muhammad bin Saud,10,R,V,,,,,,
Battle_of_Al-Safra,1812,Tusun Pasha,10,L,D,,,,,,
Battle_of_Alam_Halfa,30 August – 5 September 1942,Erwin Rommel,Panzer Army Africa:   6 divisions,R,D,,,,,,
Battle_of_Alam_Halfa,30 August – 5 September 1942,Bernard Montgomery,XIII Corps (Eighth Army):   4 divisions,L,V,,,,,,
Battle_of_Alamance,"May 16, 1771",Herman Husband,"appx. 2,000",R,D,,,,,,
Battle_of_Alamance,"May 16, 1771",William Tryon,"appx. 1,000",L,V,,,,,,
Battle_of_Albemarle_Sound,"May 5, 1864",Melancton Smith (1810–1893),8 gunboats,L,I,,,,,,
Battle_of_Albemarle_Sound,"May 5, 1864",James W. Cooke,1 ironclad   2 gunboats,R,I,,,,,,
Battle_of_Albrolhos,12 September 1631,Antonio de Oquendo,20 warships   (5 Unarmed),L,V,,,,,,
Battle_of_Albuera,16 May 1811,Jean-de-Dieu Soult,"24,260:[8]   20,248 infantry, 4,012 cavalry, 48 guns",R,I,,,,,,
Battle_of_Albuera,16 May 1811,"William Beresford, 1st Viscount Beresford","35,284:   31,385 infantry and 3,899 cavalry, 40–48 guns[5] Anglo-Portuguese Forces: 20,650:      10,449 British: 9,285 infantry, 1,164 cavalry, 24 guns[6]   10,201 Portuguese: 9,352 infantry, 849 cavalry, 12 guns[7]      Spanish Forces: 14,634: 12,748 infantry, 1,886 cavalry, 14 guns[7]",L,I,,,,,,
Battle_of_Alcañiz,23 May 1809,Joaquín Blake,"8,500 infantry,   500 cavalry",R,V,,,,,,
Battle_of_Alcañiz,23 May 1809,Louis-Gabriel Suchet,"10,000 infantry,   800 cavalry",L,D,,,,,,
Battle_of_Aldenhoven_(1794),2 October 1794,"François Sébastien Charles Joseph de Croix, Count of Clerfayt","76,000",R,D,,,,,,
Battle_of_Aldenhoven_(1794),2 October 1794,Jean-Baptiste Jourdan,"99,000",L,V,,,,,,
Battle_of_Aldie,"June 17, 1863 (1863-06-17)",Thomas T. Munford,"1,500",R,I,,,,,,
Battle_of_Alford,2 July 1645,William Baillie (soldier),2000 foot   5-600 cavalry,R,D,,,,,,
Battle_of_Alford,2 July 1645,"George Gordon, 2nd Marquess of Huntly",2000 foot   250-300 cavalry,L,V,,,,,,
Battle_of_Aliwal,28 January 1846,"Sir Harry Smith, 1st Baronet","12,000   30-32 guns[1][2]",L,V,,,,,,
Battle_of_Aliwal,28 January 1846,Ranjodh Singh Majithia,"20,000   69-70 guns[3][2]",R,D,,,,,,
Battle_of_Alkmaar_(1799),2 October 1799,Herman Willem Daendels,"25,000",L,D,,,,,,
Battle_of_Allatoona,"October 5, 1864 (1864-10-05)",John M. Corse,"2,025[1]",L,V,,,,,,
Battle_of_Allatoona,"October 5, 1864 (1864-10-05)",Samuel Gibbs French,"3,276[1]",R,D,,,,,,
Battle_of_Alligator_Bridge,"June 30, 1778",Jacques Marcus Prevost,700 infantry   100 Loyalist militia[1],R,V,,,,,,
Battle_of_Alligator_Bridge,"June 30, 1778",James Screven,100 cavalry   100 militia,L,D,,,,,,
Battle_of_Alma,20 September 1854,Alexander Sergeyevich Menshikov,"33,000 infantry   3,400 cavalry   120 guns",R,D,,,,,,
Battle_of_Alma,20 September 1854,Jacques Leroy de Saint Arnaud,"French Empire:   28,000 infantry   72 guns   British Empire:   26,000 infantry   1,000 cavalry   60 guns   Ottoman Empire:   6,000 infantry   Total:   60,000 infantry   1,000 cavalry   132 guns[1]",L,V,,,,,,
Battle_of_Almansa,25 April 1707,"Henri de Massue, Earl of Galway","22,000",L,V,,,,,,
Battle_of_Almaraz,18/19 May 1812,"Rowland Hill, 1st Viscount Hill","6,000   9 guns",L,V,,,,,,
Battle_of_Almenar,27 July 1710,"James Stanhope, 1st Earl Stanhope","24,000[1]",R,V,,,,,,
Battle_of_Almenar,27 July 1710,"Francisco Castillo Fajardo, Marquis of Villadarias","22,000[1]",L,D,,,,,,
Battle_of_Als,29 June – 1 July 1864,Karl Eberhard Herwarth von Bittenfeld,"23,000",R,V,,,,,,
Battle_of_Amba_Alagi_(1895),7 December 1895,Oreste Baratieri,"2,350 Eritrean Askari and 2'000 Italians",L,D,,,,,,
Battle_of_Amba_Aradam,10–19 February 1936,Mulugeta Yeggazu,"Approximately 80,000",R,D,,,,,,
Battle_of_Amba_Aradam,10–19 February 1936,Pietro Badoglio,"Approximately 70,000",L,V,,,,,,
Battle_of_Ambon,30 January-3 February 1942,Joseph Kapitz,"3,900   2 aircraft",L,D,,,,,,
Battle_of_Ambon,30 January-3 February 1942,Ibō Takahashi,"5,300   10 aircraft",R,V,,,,,,
Battle_of_Ambuila,30 October 1665[1],Luís Lopes de Sequeira,"14,150 - 14,500 infantry   2 artillery pieces",R,V,,,,,,
Battle_of_Ambuila,30 October 1665[1],António I of Kongo,"21,900 - 29,000 infantry",L,D,,,,,,
Battle_of_Amiens_(1918),8–12 August 1918 (major combat),Marie-Eugène Debeney,"19 British Empire divisions   (10 British, 5 Australian, 4 Canadian)   12 French divisions   1 American division   1,104 French aircraft   800 British aircraft[3]   532 tanks[4]",L,V,,,,,,
