,Battle,Date,Location,Result,belligerent,opp,own,pos,Infantry,Cavalry,Artillery,Ships,Airforce,Special,VorD
261,Battle_of_Pułtusk,26 December 1806,"Pułtusk, New East Prussia","Indecisive[1]
Tactical Russo–Prussian victory[2][3]",Levin August von Bennigsen,"25,000-27,000 soldiers[4]","40,000-45,000 soldiers, 128 guns,[4] of which 35,000 engaged[1][5]",R,,,,,,,I
263,Battle_of_Deligrad,"December, 1806","Deligrad, Serbia",Decisive Serbian victory[1],Karađorđe,"55,000","30,000",L,,,,,,,V
264,Battle_of_Copenhagen_(1807),16 August – 5 September 1807,"Copenhagen
55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278Coordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278",Decisive British victory. Danish navy surrendered to the United Kingdom.,"James Gambier, 1st Baron Gambier","10,000","25,000",L,,,,,,,V
265,Battle_of_Copenhagen_(1807),16 August – 5 September 1807,"Copenhagen
55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278Coordinates: 55°40′46″N 12°34′22″E﻿ / ﻿55.67944°N 12.57278°E﻿ / 55.67944; 12.57278",Decisive British victory. Danish navy surrendered to the United Kingdom.,Denmark,"25,000","10,000",R,,,,,,,D
267,Battle_of_Siikajoki,18 April 1808,"Siikajoki, near Oulu
64°50′N 024°44′E﻿ / ﻿64.833°N 24.733°E﻿ / 64.833; 24.733Coordinates: 64°50′N 024°44′E﻿ / ﻿64.833°N 24.733°E﻿ / 64.833; 24.733",Swedish victory,Carl Johan Adlercreutz,"2,000[1][2]","2,000",L,,,,,,,V
268,Battle_of_Pulkkila,2 May 1808,"Pulkkila, Northern Ostrobothnia, Finland",Swedish victory,Johan August Sandels,500,"1,500",L,,,,,,,V
269,Battle_of_Bailén,16–19 July 1808,"Bailén, Spain",Decisive Spanish victory,Pierre Dupont de l'Étang,"27,110 regulars and militia[3]
2,660 cavalry[3]
25 guns[3]","21,130 regulars[1][2]
3,300 cavalry[1]
24 guns",L,,,,,,,D
270,Battle_of_Bailén,16–19 July 1808,"Bailén, Spain",Decisive Spanish victory,"Francisco Javier Castaños, 1st Duke of Bailén","21,130 regulars[1][2]
3,300 cavalry[1]
24 guns","27,110 regulars and militia[3]
2,660 cavalry[3]
25 guns[3]",R,,,,,,,V
271,Battle_of_Roliça,17 August 1808,Near the village of Roliça in Portugal,"Anglo-Portuguese victory, tactical French retreat","Arthur Wellesley, 1st Duke of Wellington","4,000-4,930[1] infantry and cavalry
5 guns","14,800[1]-15,700 infantry and cavalry",L,,,,,,,V
272,Battle_of_Roliça,17 August 1808,Near the village of Roliça in Portugal,"Anglo-Portuguese victory, tactical French retreat",Henri François Delaborde,"14,800[1]-15,700 infantry and cavalry","4,000-4,930[1] infantry and cavalry
5 guns",R,,,,,,,D
273,Battle_of_Valmaseda,5 November 1808,"Valmaseda, near Bilbao, Spain",Spanish victory,Eugène-Casimir Villatte,"24,000","13,000",L,,,,,,,V
274,Battle_of_Valmaseda,5 November 1808,"Valmaseda, near Bilbao, Spain",Spanish victory,Joaquín Blake,"13,000","24,000",R,,,,,,,D
275,Battle_of_Espinosa_de_los_Monteros,10–11 November 1808,"Espinosa de los Monteros, southeast of Cantabria, Spain",French victory,"Claude Victor-Perrin, Duc de Belluno","23,000","22,000",L,,,,,,,V
276,Battle_of_Espinosa_de_los_Monteros,10–11 November 1808,"Espinosa de los Monteros, southeast of Cantabria, Spain",French victory,Joaquín Blake,"22,000","23,000",R,,,,,,,D
277,Battle_of_Somosierra,30 November 1808,"Somosierra Pass, Segovia, Spain",French victory,Napoleon,"20,000 infantry,
16 guns","45,000",L,,,,,,,V
278,Battle_of_Sahagún,21 December 1808,Leon Spain,British victory,César Alexandre Debelle,ca. 400 Cavalry[2],ca. 800 Cavalry[1],L,,,,,,,D
279,Battle_of_Sahagún,21 December 1808,Leon Spain,British victory,"Henry Paget, 1st Marquess of Anglesey",ca. 800 Cavalry[1],ca. 400 Cavalry[2],R,,,,,,,V
280,Battle_of_Eckmühl,21–22 April 1809,"Eckmühl, Bavaria",French victory,"Archduke Charles, Duke of Teschen","30,000 – 60,000","35,000",L,,,,,,,D
281,Battle_of_Eckmühl,21–22 April 1809,"Eckmühl, Bavaria",French victory,Napoleon,"35,000","30,000 – 60,000",R,,,,,,,V
282,Battle_of_Ratisbon,23 April 1809,"Regensburg, Principality of Regensburg",French victory,"Archduke Charles, Duke of Teschen","37,000","26,000",L,,,,,,,D
283,Battle_of_Alcañiz,23 May 1809,"Alcañiz, west of Teruel, Spain",Spanish victory,Louis-Gabriel Suchet,"8,500 infantry,
500 cavalry","10,000 infantry,
800 cavalry",L,,,,,,,D
284,Battle_of_Alcañiz,23 May 1809,"Alcañiz, west of Teruel, Spain",Spanish victory,Joaquín Blake,"10,000 infantry,
800 cavalry","8,500 infantry,
500 cavalry",R,,,,,,,V
285,Battle_of_Ratan_and_Sävar,19–20 August 1809,"The village of Sävar and the village of Ratan, slightly north of Umeå, Sweden","Sävar: Russian victory
Ratan: Swedish victory",Gustav Wachtmeister,"6,000 troops[1]","6,800 troops",L,,,,,,,I
288,Battle_of_Ratan_and_Sävar,19–20 August 1809,"The village of Sävar and the village of Ratan, slightly north of Umeå, Sweden","Sävar: Russian victory
Ratan: Swedish victory",Nikolay Kamensky,"6,800 troops","6,000 troops[1]",R,,,,,,,I
289,Battle_of_Ocaña,19 November 1809,"Ocaña, near Madrid, Spain",French victory,Joseph Bonaparte,"45,000 Infantry, 7,000 Cavalry[1]","24,000 Infantry, 5,000 Cavalry[1]",L,,,,,,,V
290,Battle_of_Ocaña,19 November 1809,"Ocaña, near Madrid, Spain",French victory,Juan Carlos de Aréizaga,"24,000 Infantry, 5,000 Cavalry[1]","45,000 Infantry, 7,000 Cavalry[1]",R,,,,,,,D
291,Battle_of_Batin,9 September 1810,"Batin, Bulgaria
43°40′N 25°40′E﻿ / ﻿43.667°N 25.667°E﻿ / 43.667; 25.667Coordinates: 43°40′N 25°40′E﻿ / ﻿43.667°N 25.667°E﻿ / 43.667; 25.667",Russian victory,Nikolay Kamensky,"c. 40,000","c. 20,000",L,,,,,,,V
292,Battle_of_Buçaco,27 September 1810,"Bussaco, near Luso, Portugal",Anglo-Portuguese victory,"Arthur Wellesley, 1st Duke of Wellington","65,000","25,000 British
25,000 Portuguese",L,,,,,,,V
293,Battle_of_Buçaco,27 September 1810,"Bussaco, near Luso, Portugal",Anglo-Portuguese victory,André Masséna,"25,000 British
25,000 Portuguese","65,000",R,,,,,,,D
294,Battle_of_Calderón_Bridge,17 January 1811,"Calderón Bridge, Zapotlanejo, Jalisco, Mexico",Spanish victory,Miguel Hidalgo y Costilla,"6,000","100,000",L,,,,,,,D
295,Battle_of_Calderón_Bridge,17 January 1811,"Calderón Bridge, Zapotlanejo, Jalisco, Mexico",Spanish victory,"Félix María Calleja del Rey, 1st Count of Calderón","100,000","6,000",R,,,,,,,V
296,Battle_of_Paraguarí,"January 19, 1811","Paraguarí, Paraguay",Belgrano forced to withdraw southward.,Manuel Belgrano,"4,600 soldiers[1]:11","1,000 soldiers[1]:11",L,,,,,,,D
297,Battle_of_Paraguarí,"January 19, 1811","Paraguarí, Paraguay",Belgrano forced to withdraw southward.,Bernardo de Velasco,"1,000 soldiers[1]:11","4,600 soldiers[1]:11",R,,,,,,,V
298,Battle_of_Tacuarí,"March 9, 1811","By the Tacuarí river, in Southern Paraguay, north of the town of Encarnación.",Royalist victory,Manuel Belgrano,"2,500–2,700 local soldiers from Paraguay",550 infantry and 400 cavalry[1]:11,L,,,,,,,D
300,Battle_of_Fuentes_de_Oñoro,3–5 May 1811,"Fuentes de Oñoro, Castile and León, Spain
40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°W﻿ / 40.583; -6.817Coordinates: 40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°W﻿ / 40.583; -6.817","Indecisive[1][2][3]
Strategic Anglo-Portuguese victory[4][5][6][7][8]","Arthur Wellesley, 1st Duke of Wellington","42,000 infantry,
4,500 cavalry,
38 guns","36,000 infantry,
1,850 cavalry,
48 guns[9]",L,,,,,,,I
301,Battle_of_Fuentes_de_Oñoro,3–5 May 1811,"Fuentes de Oñoro, Castile and León, Spain
40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°W﻿ / 40.583; -6.817Coordinates: 40°35′N 6°49′W﻿ / ﻿40.583°N 6.817°W﻿ / 40.583; -6.817","Indecisive[1][2][3]
Strategic Anglo-Portuguese victory[4][5][6][7][8]",André Masséna,"36,000 infantry,
1,850 cavalry,
48 guns[9]","42,000 infantry,
4,500 cavalry,
38 guns",R,,,,,,,I
303,Battle_of_Arroyo_dos_Molinos,28 October 1811,"Arroyo dos Molinos, Extremadura, Spain",Allied victory,Jean-Baptiste Girard (soldier),"9,000 British, Portuguese and Spanish","6,000",R,,,,,,,D
304,Battle_of_Yanbu,1811,Yanbu western Arabia,Ottoman victory,Tusun Pasha,70,"10,000",L,,,,,,,V
305,Battle_of_Lyngør,6 July 1812,Lyngør,British victory,James Pattison Steward,"1 frigate,
3 brigs","1 ship of the line,
3 brigs",L,,,,,,,V
306,Battle_of_Lyngør,6 July 1812,Lyngør,British victory,Hans Peter Holm,"1 ship of the line,
3 brigs","1 frigate,
3 brigs",R,,,,,,,D
308,Battle_of_Valutino,18 August 1812,"Near Smolensk, Russia","French tactical victory
Strategic Russian retreat",Michel Ney,"40,000","30,000",L,,,,,,,V
310,Battle_of_Valutino,18 August 1812,"Near Smolensk, Russia","French tactical victory
Strategic Russian retreat",Michael Andreas Barclay de Tolly,"30,000","40,000",R,,,,,,,D
312,Siege_of_Fort_Harrison,"September 4 – 15, 1812","Terre Haute, Indiana, Indiana Territory",United States victory,Siege of Fort Harrison,"20 healthy, 30 sick",600,L,,,,,,,D
313,Siege_of_Burgos,19 September to 21 October 1812,"Burgos, Spain",French victory,Jean-Louis Dubreton,"35,000
13 engineers
8 24-pound cannons[1]","2,000",L,,,,,,,V
314,Battle_of_Tucumán,24 and 25 September 1812,"Tucumán, Argentina
26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°W﻿ / -26.8374111; -65.2169611Coordinates: 26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°W﻿ / -26.8374111; -65.2169611",United Provinces victory,Manuel Belgrano,"3,000 men
13 cannons","1,800 men",L,,,,,,,V
315,Battle_of_Tucumán,24 and 25 September 1812,"Tucumán, Argentina
26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°W﻿ / -26.8374111; -65.2169611Coordinates: 26°50′14.68″S 65°13′1.06″W﻿ / ﻿26.8374111°S 65.2169611°W﻿ / -26.8374111; -65.2169611",United Provinces victory,Pío de Tristán,"1,800 men","3,000 men
13 cannons",R,,,,,,,D
316,Battle_of_Tarutino,18 October 1812,"Tarutino, Russia",Russian victory,Joachim Murat,"36,000;
13,000 actually participated in the battle.","26,000",R,,,,,,,D
317,Battle_of_Maloyaroslavets,24 October 1812,"Maloyaroslavets, Russia","French victory[1]
French abandon march toward Kaluga despite victory[2]",Eugène de Beauharnais,"12,000 infantry
3,000 cavalry
84 guns
10,000 reinforcements later on.","20,000",L,,,,,,,V
319,Battle_of_Lacolle_Mills_(1812),"November 20, 1812","Lacolle, Quebec",British-Mohawk victory,Henry Dearborn,530,6000,R,,,,,,,D
320,Battle_of_the_Mississinewa,"December 17–18, 1812","Jalapa, Indiana[1]",United States victory,John B. Campbell,300 infantry,600 cavalry,R,,,,,,,V
321,Battle_of_Ogdensburg,"February 22, 1813","Ogdensburg, New York",British victory,George MacDonnell,about 250,520,L,,,,,,,V
323,Battle_of_Lützen_(1813),2 May 1813,"Near Lützen, south-west of Leipzig, present-day Germany",French-Polish victory,Napoleon,"93,000
(56,000 Russians and 37,000 Prussians)[1]","78,000 engaged
170,000 present[1]",L,,,,,,,D
325,Battle_of_Lützen_(1813),2 May 1813,"Near Lützen, south-west of Leipzig, present-day Germany",French-Polish victory,Gebhard Leberecht von Blücher,"78,000 engaged
170,000 present[1]","93,000
(56,000 Russians and 37,000 Prussians)[1]",R,,,,,,,V
326,Battle_of_Craney_Island,"June 22, 1813","Portsmouth, Virginia",American victory,"Sir George Cockburn, 10th Baronet",750,"2,000",L,,,,,,,D
328,Siege_of_San_Sebastián,7 July – 8 September 1813,"San Sebastián, Spain","French victory (1st),
Anglo-Portuguese victory (2nd)","Thomas Graham, 1st Baron Lynedoch","3,380","9,750",L,,,,,,,D
330,Siege_of_San_Sebastián,7 July – 8 September 1813,"San Sebastián, Spain","French victory (1st),
Anglo-Portuguese victory (2nd)",Louis Emmanuel Rey,"9,750","3,380",R,,,,,,,V
331,Battle_of_the_Pyrenees,25 July to 2 August 1813,"North Pyrenees, Spain",Allied victory,"Arthur Wellesley, 1st Duke of Wellington","79,000[1]","62,000[2]",R,,,,,,,V
332,Battle_of_Großbeeren,23 August 1813,South of Berlin,Coalition victory,Nicolas Oudinot,"80,000","60,000",L,,,,,,,D
333,Battle_of_Großbeeren,23 August 1813,South of Berlin,Coalition victory,Friedrich Wilhelm Freiherr von Bülow,"60,000","80,000",R,,,,,,,V
334,Battle_of_Kulm,29–30 August 1813,"Kulm, Bohemia",Coalition victory,Dominique Vandamme,"16,000 on 29 August,
60,000 on 30 August","34,000",L,,,,,,,D
335,Battle_of_Dennewitz,6 September 1813,South of Berlin,Coalition victory,Michel Ney,"100,000","60,000",L,,,,,,,D
336,Battle_of_Dennewitz,6 September 1813,South of Berlin,Coalition victory,Friedrich Wilhelm Freiherr von Bülow,"60,000","100,000",R,,,,,,,V
337,Battle_of_Nivelle,10 November 1813,"River Nivelle, France",Allied victory,Jean-de-Dieu Soult,"80,000","60,000",L,,,,,,,D
338,Battle_of_Nivelle,10 November 1813,"River Nivelle, France",Allied victory,"Arthur Wellesley, 1st Duke of Wellington","60,000","80,000",R,,,,,,,V
339,Battle_of_Brienne,29 January 1814,Brienne-le-Château,French victory,Napoleon,"25,000","30,000",L,,,,,,,V
340,Battle_of_Brienne,29 January 1814,Brienne-le-Château,French victory,Gebhard Leberecht von Blücher,"30,000","25,000",R,,,,,,,D
342,Battle_of_La_Rothière,1 February 1814,"La Rothière, France","Tactical Coalition victory
Strategic French retreat",Napoleon,"80,000","45,000
128 guns",L,,,,,,,D
343,Battle_of_La_Rothière,1 February 1814,"La Rothière, France","Tactical Coalition victory
Strategic French retreat",Gebhard Leberecht von Blücher,"45,000
128 guns","80,000",R,,,,,,,V
345,Battle_of_Château-Thierry_(1814),12 February 1814,France,French victory,Napoleon,"30,000","20,000",L,,,,,,,V
346,Battle_of_Château-Thierry_(1814),12 February 1814,France,French victory,Ludwig Yorck von Wartenburg,"20,000","30,000",R,,,,,,,D
347,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Napoleon,"50,000[1]","30,000[1]",L,,,,,,,V
348,Battle_of_Craonne,7 March 1814,"Craonne, France",French victory,Gebhard Leberecht von Blücher,"30,000[1]","50,000[1]",R,,,,,,,D
349,Battle_of_Reims_(1814),12–13 March 1814,"Reims, France",French victory,Napoleon,"7,800
 5,600","20,000–25,000",L,,,,,,,V
350,Battle_of_Fère-Champenoise,25 March 1814,"near Fère-Champenoise, France",Coalition victory,"Karl Philipp, Prince of Schwarzenberg","22,450, 84 guns","26,400, 128 guns
180,000 reinforcements",L,,,,,,,V
351,Battle_of_Fère-Champenoise,25 March 1814,"near Fère-Champenoise, France",Coalition victory,Auguste de Marmont,"26,400, 128 guns
180,000 reinforcements","22,450, 84 guns",R,,,,,,,D
352,Battle_of_Lacolle_Mills_(1814),"March 30, 1814","Lacolle, Quebec",British victory,James Wilkinson,500,"4,000",R,,,,,,,V
353,Battle_of_Chippawa,"July 5, 1814","Chippawa, Upper Canada (present-day Ontario)",American victory,Jacob Brown,"2,100","3,500",R,,,,,,,V
354,Siege_of_Fort_Erie,"August 4 – September 21, 1814","Fort Erie, present-day Ontario",American victory,Gordon Drummond,"2,500","3,000",L,,,,,,,D
355,Siege_of_Fort_Erie,"August 4 – September 21, 1814","Fort Erie, present-day Ontario",American victory,Edmund P. Gaines,"3,000","2,500",R,,,,,,,V
356,Nejd_Expedition,1818,Nejd & Al Qasim.,Ottoman victory,Ibrahim Pasha of Egypt,"6,000","30,000",L,,,,,,,V
357,Nejd_Expedition,1818,Nejd & Al Qasim.,Ottoman victory,Abdullah bin Saud,"30,000","6,000",R,,,,,,,D
358,Second_Battle_of_Cancha_Rayada,"March 16, 1818","Near Talca, Chile",Royalist victory,José de San Martín,"5,000","7,000",L,,,,,,,D
359,Second_Battle_of_Cancha_Rayada,"March 16, 1818","Near Talca, Chile",Royalist victory,Mariano Osorio,"7,000","5,000",R,,,,,,,V
360,Battle_of_Maipú,"April 5, 1818","Maipú plains, near Santiago, Chile",Decisive Patriot victory,José de San Martín,"c. 5,000","c. 5,000",L,,,,,,,V
361,Battle_of_Maipú,"April 5, 1818","Maipú plains, near Santiago, Chile",Decisive Patriot victory,Mariano Osorio,"c. 5,000","c. 5,000",R,,,,,,,D
362,Battle_of_Boyacá,"August 7, 1819","Boyacá, Colombia",Decisive Republican victory,Simón Bolívar,2670 Newgranadians-Venezuelan loyalist soldiers[1],2850[1],L,,,,,,,V
363,Battle_of_Boyacá,"August 7, 1819","Boyacá, Colombia",Decisive Republican victory,José María Barreiro,2850[1],2670 Newgranadians-Venezuelan loyalist soldiers[1],R,,,,,,,D
365,Battle_of_Karpenizi,8 August 1823,"Karpenisi, central Greece",Greek victory[1],Mustafa Pasha Bushatli,450,"10,000",R,,,,,,,D
367,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma","Sir Archibald Campbell, 1st Baronet","40,000","50,000",L,,,,,,,V
369,Battle_of_Danubyu,"5 March 1824 – 24 February 1826
(1 year, 11 months, and 19 days)","Burma, East Bengal, Assam, Manipur, Cachar and Jaintia","British victory

Treaty of Yandabo
Beginning of British rule in Burma",Maha Bandula,"50,000","40,000",R,,,,,,,D
370,Russo-Persian_War_(1826-1828),1826–28,"South Caucasus
North Iran","Russian victory
Treaty of Turkmenchay",Aleksey Petrovich Yermolov,"35,000–50,000","34,000",L,,,,,,,V
372,Battle_of_Ituzaingó,"February 20, 1827","near Santa Maria River, south Brazil","Argentinian tactical victory
Inconclusive strategic results","Felisberto Caldeira Brant, Marquis of Barbacena","7,700 (5,400 cavalry, 1,800 infantry, 500 artillerymen serving 16 guns [1] 6.200-7,700[2]
1.800 infantry[3]
5.400 cavalry[3]
500 artillerymen[3]","6,300 (3,700 cavalry, 2,300 infantry, and 300 artillerymen serving 12 guns)[1] 7.000[2]-10.000[3]
2.000 Austro-Prussian mercenaries[3]",L,,,,,,,D
375,Battle_of_Ituzaingó,"February 20, 1827","near Santa Maria River, south Brazil","Argentinian tactical victory
Inconclusive strategic results",Carlos María de Alvear,"6,300 (3,700 cavalry, 2,300 infantry, and 300 artillerymen serving 12 guns)[1] 7.000[2]-10.000[3]
2.000 Austro-Prussian mercenaries[3]","7,700 (5,400 cavalry, 1,800 infantry, 500 artillerymen serving 16 guns [1] 6.200-7,700[2]
1.800 infantry[3]
5.400 cavalry[3]
500 artillerymen[3]",R,,,,,,,V
376,Battle_of_Phaleron,24 April (6 May) 1827,Near Athens,Ottoman victory,"Thomas Cochrane, 10th Earl of Dundonald",Unknown (some cavalry),"3,000",L,,,,,,,D
377,Battle_of_Kulevicha,11 June 1829,"Kulevicha, Ottoman Empire (today Kyulevcha, Bulgaria)",Russian victory,Reşid Mehmed Pasha,"50,000 Russians
7,000 Moldavians and Wallachians","40,000",R,,,,,,,D
378,Battle_of_Białołęka,24–25 February 1831,"Near Warsaw, Poland",Polish victory (indecisive),Jan Krukowiecki,"11,000 men, 56 cannons","13,000 men, 22 cannons",L,,,,,,,V
379,Battle_of_Białołęka,24–25 February 1831,"Near Warsaw, Poland",Polish victory (indecisive),Ivan Shakhovskiy,"13,000 men, 22 cannons","11,000 men, 56 cannons",R,,,,,,,D
380,Battle_of_Ostrołęka_(1831),26 May 1831,"Ostrołęka, Poland",Russian victory,Jan Zygmunt Skrzynecki,"53,262, 245 cannons[2]","48,467, 138 cannons[1]",L,,,,,,,D
381,Battle_of_Ostrołęka_(1831),26 May 1831,"Ostrołęka, Poland",Russian victory,Hans Karl von Diebitsch,"48,467, 138 cannons[1]","53,262, 245 cannons[2]",R,,,,,,,V
382,Siege_of_Antwerp_(1832),15 November – 23 December 1832,"Antwerp, Belgium",French victory[1],Étienne Maurice Gérard,"4,500[1]",,L,,,,,,,V
383,Battle_of_Santarén,"16 May, 1834","Asseiceira, Portugal",Decisive Loyalist victory,"António José Severim de Noronha, 1st Duke of Terceira","5,500 infantry
500 cavalry
12 cannons","More than 6,000 infantry
about 500 cavalry
about 11 cannons",L,,,,,,,V
384,Battle_of_Santarén,"16 May, 1834","Asseiceira, Portugal",Decisive Loyalist victory,Luís Vaz Pereira Pinto Guedes,"More than 6,000 infantry
about 500 cavalry
about 11 cannons","5,500 infantry
500 cavalry
12 cannons",R,,,,,,,D
385,Battle_of_Concepción,"October 28, 1835","Mission Concepción, San Antonio de Béxar",Texian victory,James Bowie,"275 cavalry and infantry,
2 cannons",90 militia,L,,,,,,,V
386,Battle_of_Concepción,"October 28, 1835","Mission Concepción, San Antonio de Béxar",Texian victory,Domingo Ugartechea,90 militia,"275 cavalry and infantry,
2 cannons",R,,,,,,,D
387,Siege_of_Bexar,"October 12 – December 11, 1835","modern-day San Antonio, Texas, US",Texian victory,Stephen F. Austin,"1,200",600,R,,,,,,,V
388,Battle_of_Lake_Okeechobee,"December 25, 1837","Lake Okeechobee, Florida
27°12′45.44″N 80°47′6.43″W﻿ / ﻿27.2126222°N 80.7851194°W﻿ / 27.2126222; -80.7851194Coordinates: 27°12′45.44″N 80°47′6.43″W﻿ / ﻿27.2126222°N 80.7851194°W﻿ / 27.2126222; -80.7851194",Tactical Seminole victory; Strategic US Victory[1],Zachary Taylor,400,"1,100",L,,,,,,,D
389,Battle_of_Lake_Okeechobee,"December 25, 1837","Lake Okeechobee, Florida
27°12′45.44″N 80°47′6.43″W﻿ / ﻿27.2126222°N 80.7851194°W﻿ / 27.2126222; -80.7851194Coordinates: 27°12′45.44″N 80°47′6.43″W﻿ / ﻿27.2126222°N 80.7851194°W﻿ / 27.2126222; -80.7851194",Tactical Seminole victory; Strategic US Victory[1],Alligator (Seminole),"1,100",400,R,,,,,,,V
391,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.","Sir George Pollock, 1st Baronet","15,000","13,000",L,,,,,,,V
392,Battle_of_Kabul_(1842),August–October 1842,"Kabul, Afghanistan","British victory and withdrawal;
End of the First Anglo-Afghan War.",Wazir Akbar Khan,"13,000","15,000",R,,,,,,,D
394,Battle_of_the_Smala,16 May 1843,"Taguin, French Algeria",French victory,Emir Abdelkader,500 cavalry,Unknown,R,,,,,,,D
395,Battle_of_Resaca_de_la_Palma,"May 9, 1846","Near Brownsville, Texas",American victory,Mariano Arista,"1,700[1]:62[2]","4,000[2]",R,,,,,,,D
396,Battle_of_Santa_Fe,"August 15, 1846","Santa Fe, New Mexico",United States victory,Manuel Armijo,"1,700[2]",unknown,R,,,,,,,D
397,Battle_of_Molino_del_Rey,"September 8, 1847","Mexico City, D.F.",United States victory,Francisco Pérez (general),"9,800","4,000",R,,,,,,,D
398,Siege_of_Puebla_(1847),13–14 September until 12 October 1847,"Puebla, Puebla",American victory,Joaquín Rea,"500 (garrison)
3,000 (relief force)","4,000",R,,,,,,,D
399,Battle_of_Pákozd,29 September 1848[1],"Pákozd – Sukoró – Pátka triangle in Fejér County, Kingdom of Hungary",Hungarian victory[1][2][3],Josip Jelačić,"27,000 men
82 cannon","c. 35,000–40,000 men
99 cannon",L,,,,,,,D
400,Battle_of_Pákozd,29 September 1848[1],"Pákozd – Sukoró – Pátka triangle in Fejér County, Kingdom of Hungary",Hungarian victory[1][2][3],János Móga,"c. 35,000–40,000 men
99 cannon","27,000 men
82 cannon",R,,,,,,,V
401,Battle_of_Mór,30 December 1848,"Mór, Fejér Shire County, Kingdom of Hungary",Austrian victory,Mór Perczel,Unknown,"6,500 men
24 cannon",L,,,,,,,D
402,Battle_of_Mór,30 December 1848,"Mór, Fejér Shire County, Kingdom of Hungary",Austrian victory,Josip Jelačić,"6,500 men
24 cannon",Unknown,R,,,,,,,V
403,Battle_of_Kápolna,26 and 27 February 1849,"Kápolna, Heves County, Hungary",Austrian victory,Henryk Dembiński,"30,000 men
165 cannon","36,000 men
136 cannon",L,,,,,,,D
404,Battle_of_Kápolna,26 and 27 February 1849,"Kápolna, Heves County, Hungary",Austrian victory,"Alfred I, Prince of Windisch-Grätz","36,000 men
136 cannon","30,000 men
165 cannon",R,,,,,,,V
405,Battle_of_Segesvár,31 July 1849,"Segesvár, Transylvania (now Sighişoara, Romania)",Russian-Austrian Victory,Józef Bem,"12,000","6,000",L,,,,,,,D
406,Battle_of_Segesvár,31 July 1849,"Segesvár, Transylvania (now Sighişoara, Romania)",Russian-Austrian Victory,Alexander von Lüders,"6,000","12,000",R,,,,,,,V
407,Battle_of_Temesvár,9 August 1849,"around Temesvár, Kingdom of Hungary
(today Timişoara, Romania)",Austrian victory,Józef Bem,"90,000 men
350 cannon","55,000 men
120 cannon",L,,,,,,,D
408,Battle_of_Temesvár,9 August 1849,"around Temesvár, Kingdom of Hungary
(today Timişoara, Romania)",Austrian victory,Julius Jacob von Haynau,"55,000 men
120 cannon","90,000 men
350 cannon",R,,,,,,,V
409,Battle_of_Berea,20-21 December 1852,"Berea, Basutoland
29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000Coordinates: 29°19′0″S 27°36′0″E﻿ / ﻿29.31667°S 27.60000°E﻿ / -29.31667; 27.60000",Inconclusive,Moshoeshoe I,Approx. 1000 British Army troops,Unknown,R,,,,,,,I
410,Battle_of_Oltenitza,4 November 1853,"Oltenița, Wallachia",Ottoman victory[1],Peter Andreivich Dannenberg,"8,000[2]","6,000[2]",R,,,,,,,D
411,Battle_of_Rivas,11 April 1856,"Rivas, Nicaragua","In May 1857, William Walker was forced to surrender to the US Navy and leave the country.[1]",William Walker (filibuster),"9,000 volunteers[2]",unknown,L,,,,,,,D
412,Battle_of_Varese,26 May 1859,"Varese, Lombardy",Alpine Hunters victory[1],Giuseppe Garibaldi,"3,000[3]
4 guns[4]","4,000[1]",L,,,,,,,V
413,Battle_of_Sewell's_Point,"May 18, 1861 (1861-05-18)–May 19, 1861 (1861-05-19)","Norfolk, Virginia",Inconclusive,Henry Eagle,1 battery,2 gunboats,L,,,,,,,I
414,Battle_of_Philippi_Races,"June 3, 1861 (1861-06-03)","Barbour County, Virginia (now West Virginia)
39°09′11″N 80°02′34″W﻿ / ﻿39.15316°N 80.04278°W﻿ / 39.15316; -80.04278Coordinates: 39°09′11″N 80°02′34″W﻿ / ﻿39.15316°N 80.04278°W﻿ / 39.15316; -80.04278",Union victory,Thomas A. Morris,800,"3,000",L,,,,,,,V
