,Battle,Date,Location,Result,belligerent,inflicted,opp,own,pos,taken,VorD
4123,Battle_of_Las_Guasimas,"June 24, 1898","Sevilla, near Santiago de Cuba, Cuba",U.S. victory[1][2][3][4],Joseph Wheeler,"7 killed[7]:62
14 wounded","1,500 infantry[6]:125
2 field guns","964 infantry[5]:9
3 field guns[5]:8
800 irregulars[6]:124",L,"27 dead
52 wounded[5]:9",
4127,Battle_of_El_Caney,"July 1, 1898","El Caney, Cuba",minor u s victory,Henry Ware Lawton,"38 killed, 138 wounded and 160 captured[1]","520 regulars[1]
≈100 irregulars[3]","6,653 Americans[1]
3,000 Cubans[2]:134",L,"81 killed
360 wounded[2]:137",
4181,Battle_of_Elandslaagte,21 October 1899,"Elandslaagte, KwaZulu-Natal, South Africa
28°24′00″S 29°57′00″E﻿ / ﻿28.4000°S 29.95°E﻿ / -28.4000; 29.95﻿ (Battle of Elandslaagte)Coordinates: 28°24′00″S 29°57′00″E﻿ / ﻿28.4000°S 29.95°E﻿ / -28.4000; 29.95﻿ (Battle of Elandslaagte)",British victory,Johannes Hermanus Michiel Kock,"55 dead
205 wounded","3,500
18 guns[1]","1,000
3 guns[1]",R,"46 dead
105 wounded
181 MIA or captured",
4235,Battle_of_Nanshan,24–26 May 1904,"North of Port Arthur, Manchuria","Tactical Russian victory
Strategic Japanese pyrrhic victory",Oku Yasukata,"182 killed
836 wounded
598 Missing in action[1]","3,800","35,500",L,"6,198 killed, wounded or captured",
4238,Battle_of_Dairen,24–26 May 1904,"North of Port Arthur, Manchuria","Tactical Russian victory
Strategic Japanese pyrrhic victory",Oku Yasukata,"182 killed
836 wounded
598 Missing in action[1]","3,800","35,500",L,"6,198 killed, wounded or captured",
4251,Battle_of_Liaoyang,25 August – 5 September 1904,"South of Liaoyang, China
Coordinates: 41°47′44″N 123°26′53″E﻿ / ﻿41.79556°N 123.44806°E﻿ / 41.79556; 123.44806",Japanese victory,Ōyama Iwao,"19,112[6]

3,611 killed
14,301 wounded","208.5 battalions, 153 squadrons, 673 guns,[1][3] 245,300 men[4]","115 battalions, 33 squadrons, 484 guns[1][2] 127,360 men",L,"22,922[5]

5,537 killed
18,603 wounded",
4255,Battle_of_Sha-ho_River,5–17 October 1904,"South of Mukden on the Sha River, Manchuria","Strategically inconclusive
Tactical Japanese victory
Russians forced to retreat",Ōyama Iwao,"41,351

5,084 killed
30,506 wounded
4,869 MIA[1]","210,000","170,000",L,"21,125

4,099 killed
16,398 wounded
628 captured",
4259,Battle_of_Sandepu,25 January – 29 January 1905,"South of Mukden, Manchuria",Inconclusive,Oku Yasukata,"13,963

1,727 killed
11,123 wounded
1,113 MIA[3]","75,000[1]","40,000[1]",L,"9,511[2]

1,848 killed
7,421 wounded
242 captured",
4303,Battle_of_Vevi_(1912),3–6 November [O.S. 21–24 October] 1912,"near Sorovich (now Amyntaio, Greece )",Ottoman victory,Dimitrios Matthaiopoulos,Unknown,unknown,unknown,L,"168 dead
196 wounded
10 POW",
4306,First_Battle_of_Çatalca,17 and 18 November [O.S. 4–5 November] 1912,Çatalca Line,Ottoman victory,Radko Dimitriev,"5,000 - 10,000 killed and wounded[1]","140,571 men
(103,514 rifles, 62 MGs, 316 guns, 22,058 animals, 5-8 aircraft)","176,430 men
(118,092 rifles, 146 MGs, 462 guns, 56,410 animals, 20 aircraft)",L,"1,506 killed
9,127 wounded
1,391 missing
Total: 12,024[1]",
4344,Battle_of_Cer,15–24 August 1914[a],Cer Mountain and surrounding towns and villages in the northwestern portion of the Kingdom of Serbia,Serbian victory[4][5],Oskar Potiorek,"3,000–5,000 killed
15,000 wounded","~180,000 soldiers","~200,000 soldiers",L,"6,000–10,000 killed
30,000 wounded
4,500 captured",
4365,Battle_of_Tannenberg_(1914),26–30 August 1914,"Near Allenstein, East Prussia (today Olsztyn, Poland)
53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°E﻿ / 53.49583; 20.13444Coordinates: 53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°E﻿ / 53.49583; 20.13444",German victory,Paul von Hindenburg,"170,000:
78,000 killed or wounded
92,000 POW
350 guns captured[6][7]","230,000[2]","150,000[1]",L,"10,000–15,000 killed or wounded [3]
12,000 killed or wounded [4]
Official German data 21–30/08/14:
13,873:[5]
1,726 KIA
7,461 WIA
4,686 MIA",
4374,Battle_of_Galicia,23 August – 11 September 1914,"Lemberg, Galicia (modern-day Ukraine)","Russian victory

Russian occupation of Eastern Galicia",Nikolay Iudovich Ivanov,"324,000–400,000:

100,000 dead
220,000 wounded
100,000–130,000 captured","950,000","1,200,000",L,"225,000–250,000:

40,000 captured",
4388,Battle_of_Heligoland_(1914),28 August 1914,"Heligoland Bight, North Sea",British victory[1],"David Beatty, 1st Earl Beatty","712 killed
149 wounded
336 captured
3 light cruisers sunk
2 torpedo boats sunk
1 destroyer sunk
3 destroyers heavily damaged
1 light cruiser heavily damaged
2 light cruisers moderately damaged","6 light cruisers
19 torpedo boats
12 minesweepers","5 battlecruisers
8 light cruisers
33 destroyers
8 submarines",L,"35 killed
55 wounded
1 light cruiser heavily damaged
3 destroyers damaged",
4410,First_Battle_of_the_Masurian_Lakes,7–14 September 1914,"East Prussia, Germany (present-day Poland)","German victory

Russian ejection from East Prussia",Paul von Hindenburg,"100,000[14][15]-125,000 killed, wounded and captured,[16][17][18] of them 70,000 killed and wounded,[19] 30,000[20]-45,000 prisoners","Total 490,000 soldiers:[citation needed]
(470,000 infantry[citation needed]
20,000 cavalry[citation needed])
First Army:
16.5 infantry divisions
5 cavalry divisions
Tenth Army:
6 infantry divisions","Total 215,000 soldiers:[1]
16 infantry divisions
2 cavalry divisions",L,"10,000 killed, wounded and missing[2][3]
Another estimate:
40,000 killed, wounded and missing[4][5][6][7][8][9][10]
Another estimate:
70,000 killed, wounded and missing[11][12][13]",
4426,Siege_of_Antwerp_(1914),28 September – 10 October 1914 (1 week and 5 days),"Antwerp, Belgium
51°13′N 04°24′E﻿ / ﻿51.217°N 4.400°E﻿ / 51.217; 4.400Coordinates: 51°13′N 04°24′E﻿ / ﻿51.217°N 4.400°E﻿ / 51.217; 4.400",German victory,"Henry Rawlinson, 1st Baron Rawlinson",Unknown,"66,000 (during main assault)","87,300 field troops
63,000 garrison troops",R,"Belgium:
Unknown killed
33,000 interned in the Netherlands
30,000 captured
Britain:
57 killed
1,480 interned
900 captured",
4532,Second_Battle_of_Ypres,22 April – 25 May 1915,"Ypres, Belgium
50°53′28″N 2°58′44″E﻿ / ﻿50.891°N 2.979°E﻿ / 50.891; 2.979Coordinates: 50°53′28″N 2°58′44″E﻿ / ﻿50.891°N 2.979°E﻿ / 50.891; 2.979",Allied victory,Horace Smith-Dorrien,"34,933–35,000 +",7 divisions,2 French and 6 British divisions,L,"French: 2,000–3,000 to 21,973
British: 59,275",
4554,Battle_of_Lone_Pine,6–10 August 1915,"Gallipoli, Ottoman Empire (present-day Turkey)",ANZAC victory,Harold Bridgwood Walker,"~5,000–7,000[3][4]","2 battalions, reinforced by 3 regiments[1][2]","1 brigade, reinforced by 2 more battalions[1]",L,"2,277[3]",
4577,Siege_of_Kut,7 December 1915 – 29 April 1916,"Kut-al-Amara, Mesopotamia (modern Iraq)",Ottoman victory,Colmar Freiherr von der Goltz,"30,000 dead or wounded
13,000 captured","31,000","25,000",R,"10,000 dead or wounded",
4578,Battle_of_Verdun,"21 February – 18 December 1916
(9 months, 3 weeks and 6 days)","Région Fortifiée de Verdun (RFV) Verdun-sur-Meuse, France
49°12′29″N 5°25′19″E﻿ / ﻿49.20806°N 5.42194°E﻿ / 49.20806; 5.42194Coordinates: 49°12′29″N 5°25′19″E﻿ / ﻿49.20806°N 5.42194°E﻿ / 49.20806; 5.42194",French victory,Erich von Falkenhayn,"315,000–542,000 (156,000–162,000 killed) February–December 1916","Initial:
30,000 soldiers
total 75–85 divisions","Initial:
130,000 soldiers
total c. 50 divisions",L,"281,000–434,000 (c. 143,000 killed) February–December 1916",
4721,Second_Battle_of_Gaza,17–19 April 1917,"Gaza, southern Palestine",Ottoman victory,Archibald Murray,"82–402 killed,
1,337–1,364 wounded,
247 missing,
200 prisoners",unknown,unknown,L,"509 killed,
4,359 wounded,
1,534 missing
Total: 6,444 & 3 tanks",
4733,Battle_of_Caporetto,24 October – 19 November 1917,"Kobarid, Austria-Hungary
(present day Slovenia)
Coordinates: 46°12′52″N 13°38′33″E﻿ / ﻿46.21444°N 13.64250°E﻿ / 46.21444; 13.64250",Major Central Powers victory[1],Svetozar Boroević,"305,000:
10,000 dead
30,000 wounded
265,000 captured
3,152 artillery pieces","~874,000 soldiers
6,918 artillery pieces[3]","~350,000 soldiers[2]
2,213 artillery pieces",L,"70,000 killed and wounded",
4752,Battle_of_Cambrai_(1917),20 November – 7 December 1917,"Cambrai, France
50°10′36″N 03°14′08″E﻿ / ﻿50.17667°N 3.23556°E﻿ / 50.17667; 3.23556Coordinates: 50°10′36″N 03°14′08″E﻿ / ﻿50.17667°N 3.23556°E﻿ / 50.17667; 3.23556",See Aftermath section,"Douglas Haig, 1st Earl Haig","c. 45,000",1 Corps,"2 Corps
476 tanks (378 combat tanks)",L,"c. 44,000
179 tanks",
4755,Battle_of_Jerusalem_(1917),17 November – 30 December 1917,"On the coast of the Mediterranean Sea north of Jaffa, into the Judean Hills and around Jerusalem",British Empire victory,"Edmund Allenby, 1st Viscount Allenby","25,000
(for entire campaign)",unknown,unknown,L,"18,000
(for entire campaign)",
4776,Battle_of_the_Piave_River,15–23 June 1918,"Piave, Italy
45°49′50″N 12°12′34″E﻿ / ﻿45.83056°N 12.20944°E﻿ / 45.83056; 12.20944Coordinates: 45°49′50″N 12°12′34″E﻿ / ﻿45.83056°N 12.20944°E﻿ / 45.83056; 12.20944",Decisive Italian victory,Svetozar Boroević,"87,000:[2]
8,396 dead
30,603 wounded
48,182 captured","57 divisions:[1]

 52 divisions
 3 divisions
 2 divisions

7,000 guns
2,400 mortars
676 aircraft","58 divisions[1]
946,000
6,830 guns",R,"118,000:[2]
11,643 dead
80,852 wounded
25,547 captured",
4792,Second_Battle_of_the_Marne,15 July – 6 August 1918,"Marne River near Paris, France
49°5′N 3°40′E﻿ / ﻿49.083°N 3.667°E﻿ / 49.083; 3.667Coordinates: 49°5′N 3°40′E﻿ / ﻿49.083°N 3.667°E﻿ / 49.083; 3.667",Decisive Allied victory,Johannes von Eben,": 95,165 dead or wounded
: 16,552 dead or wounded
: 12,000 dead or wounded
: 9,000 dead or wounded","44 French divisions
8 American divisions
4 British divisions
2 Italian divisions
408 heavy guns
360 field batteries
346 tanks","52 divisions
609 heavy guns
1,047 field batteries",R,"139,000 dead or wounded
29,367 captured
793 guns lost",
4793,Battle_of_Chateau_Thierry_(1918),18 July 1918,"Château-Thierry, Aisne, France
49°2′31″N 3°22′19″E﻿ / ﻿49.04194°N 3.37194°E﻿ / 49.04194; 3.37194",Allied victory,John J. Pershing,,unknown,unknown,L,,
4796,Battle_of_Amiens_(1918),8–12 August 1918 (major combat),"East of Amiens, Picardy, France","Allied victory[1][2]

Start of Hundred Days Offensive",Ferdinand Foch,"75,000 (50,000 prisoners)[5]","10 active divisions
4 reserve divisions
365 aircraft[4]","19 British Empire divisions
(10 British, 5 Australian, 4 Canadian)
12 French divisions
1 American division
1,104 French aircraft
800 British aircraft[3]
532 tanks[4]",L,"44,000 (22,000 BEF, 22,000 French)[5]",
4844,Battle_of_Vittorio_Veneto,24 October – 4 November 1918,"Vittorio, Kingdom of Italy
45°57′21″N 12°20′49″E﻿ / ﻿45.95583°N 12.34694°E﻿ / 45.95583; 12.34694Coordinates: 45°57′21″N 12°20′49″E﻿ / ﻿45.95583°N 12.34694°E﻿ / 45.95583; 12.34694","Decisive Italian victory̼[1]
End of the Austro-Hungarian Empire[2][3]",Armando Diaz,"528,000 [6]
30,000 dead
50,000 wounded
448,000 captured
5,000+ artillery pieces captured","1,830,000 in 61 divisions[4]
6,145 guns","57 divisions:[4]

 1,530,000 in 51 divisions
 78,661 in 3 divisions
 44,000 in 2 divisions
 15,000 in 1 division
 5,000 in 1 regiment[5]

7,700 guns
600 aircraft",L,"40,378
 37,461

7,000 killed
23,000 wounded
8,000 missing or captured

 2,139
 778",
4855,Battle_of_Lwów_(1918),"November 1, 1918 - May 22, 1919","Lemberg (Lviv, Lwów)",Polish victory,Dmytro Vitovsky,,unknown,unknown,L,,
4871,Battle_of_Nasielsk,14-16 August 1920,"near Warsaw, Poland",Minor Polish victory,Józef Piłsudski,,unknown,unknown,L,,
4874,Battle_of_Dęblin_and_Mińsk_Mazowiecki,"August 16–18, 1920","Near Mińsk Mazowiecki, Poland",Polish victory,Mikhail Tukhachevsky,90,unknown,unknown,L,1400,
4896,Battle_of_Giby,"Lithuanian historiography:
Spring[vague] 1919 – November 29, 1920;[3]
Polish historiography:
September 1 – October 7, 1920",Suwałki Region and Vilnius Region,"Polish victory;

No diplomatic relations between Poland and Lithuania until the ultimatum of 1938",Józef Piłsudski,,unknown,unknown,L,,
4929,Battle_of_Sakarya,"August 23 – September 13, 1921","On the banks of Sakarya River, Turkey","Greek Pyrrhic victory
Tactically inconclusive[1][2]
Greek advance halted[3]
Turkish strategic victory[4]",Mustafa Kemal Atatürk,"From August 23 to September 16:[8]
4,000 dead
19,000 wounded
354 missing
Total: 22,900","120,000 soldiers
3,780 officers
57,000 rifles
2,768 machine guns
386 cannons
1,350 swords
600 3-ton trucks
240 1-ton trucks
18 airplanes[5]","96,326 soldiers
5,401 officers
54,572 rifles
825 machine guns
196 cannons
1,309 swords
2 aircraft [5]",L,"3,700 dead
18,480 wounded
108 captives
5,639 deserters
8,089 missing
Total: 38,029[6][Note 1]",
4966,Defense_of_the_Great_Wall,"January 1 – May 31, 1933",Eastern end of the Great Wall of China,"Japanese and Manchukuo victory
Tanggu Truce",Chiang Kai-shek,Unknown,"Japan: 50,000
Manchukuo: 42,000","Northeastern Army: 50,000+",L,Unknown,
5007,Battle_of_Lugou_Bridge,7–9 July 1937,"Vicinity of Peking, China
39°50′57″N 116°12′47″E﻿ / ﻿39.84917°N 116.21306°E﻿ / 39.84917; 116.21306Coordinates: 39°50′57″N 116°12′47″E﻿ / ﻿39.84917°N 116.21306°E﻿ / 39.84917; 116.21306","Strategic Japanese victory
Tactical Chinese victory
Japanese attack repulsed[1]
Beginning of the full scale invasion of China in the Second Sino-Japanese War",Song Zheyuan,Unknown,"5,600[4]",c. 100[1] + unknown reinforcements[3],L,"All, except 4 soldiers killed in action[1]",
5026,Battle_of_Xinkou,13 September – 11 November 1937,Niangzi Pass and Taiyuan,Japanese victory,Yan Xishan,"20,000 killed[2][3]
Tens of thousands more wounded
Dozens of tanks and 24+ planes[4]","140,000 in 4 divisions
350+ artillery guns
150+ tanks
300 aircraft[1]","280,000 in 52 divisions",L,"100,000 dead, injured or missing[2][3]",
5063,Battle_of_Wuhan,"11 June – 27 October 1938 (4 months, 2 weeks, and 2 days)","Wuhan and surrounding provinces (Anhui, Henan, Jiangxi, Hubei)","Tactical Japanese victory
Strategic Chinese victory",Chiang Kai-shek,"≈140,000[1]","≈350,000
≈500 planes
≈120 ships","≈1,000,000 (120 divisions)
≈200 planes
≈40 ships",L,"≈400,000[1]",
5104,Battle_of_Khalkhin_Gol,11 May – 15 September 1939,"Khalkha River, Mongolian People's Republic","Soviet and Mongolian victory

Japanese attack halted
Ceasefire agreement signed",Puyi,"Manpower:
 27,880[nb 2]
 556[16]-990[2]
Equipment:
208 aircraft[17]
253 tanks destroyed[18]
133 armored cars destroyed
96 mortars and artillery
49 tractors and prime movers
652 trucks and other motor vehicles[15][16]
significant animal casualties[19]","61,860–73,961[nb 1]
498–550 tanks
385–450 armored cars[4][5]
900+ aircraft (participated)

Peak strength: 580[6]

500[7]–634[2] artillery pieces
4,000 trucks[8]
1,921 horses and camels (Mongol only)[9]","30,000[10][11]–38,000[12]
73 tanks[5]
64 tankettes
400+ aircraft (participated)

Peak strength: 200[6]

~300 artillery pieces[2]
1,000 trucks[13]
2,708 horses[14]",R,"Manpower:
 17,000–20,000
 2,895[nb 3]
Equipment:
162 aircraft[17]
42 tanks destroyed or crippled[5]
Many tankettes destroyed
72 artillery pieces (field guns only)[21]
2,330 horses killed, injured, or sick[14]
significant motor vehicle losses[22]",
5170,Battle_of_Suomussalmi,"December 7, 1939 to January 8, 1940","Suomussalmi, Finland",Finnish victory,Ivan Dashitsev,"750 dead or missing[1]
1,000 wounded[1]","Three regiments and separate battalions (11,500 men)","Elements of 9th Army: Two divisions, one tank brigade (45,000–55,000 men)",R,"21,000–27,500 dead or missing[2]
2,100 taken prisoner
43 tanks captured",
5172,Battle_of_the_River_Plate,13 December 1939,"Off the River Plate estuary in Argentina and Uruguay, South Atlantic",British victory[1],Hans Langsdorff,"One heavy cruiser badly damaged
two light cruisers damaged
72 dead
(Achilles 4, Ajax 7,
Exeter 61)
28 wounded","One heavy cruiser with 8 inch guns
2 light cruisers with 6 inch guns",One Panzerschiff (heavy cruiser) with 11·1 inch guns,L,"One Panzerschiff scuttled
36 dead
60 wounded",
5177,Battle_of_the_Atlantic_(1940),"September 3, 1939 – May 8, 1945
(5 years, 8 months and 5 days)","Atlantic Ocean, Río de la Plata, North Sea, Irish Sea, Labrador Sea, Gulf of St. Lawrence, Caribbean Sea, Gulf of Mexico, Outer Banks, Arctic Ocean",Allied victory,Martin Dunbar-Nasmith,"~30,000 sailors killed[4]
783 submarines lost
~500 killed
17 submarines lost[5]",unknown,unknown,L,"36,200 sailors killed[1][2]
36,000 merchant seamen killed[1][2]
3,500 merchant vessels
175 warships
741 RAF Coastal Command Aircraft lost in anti-submarine sorties[3]",
5199,Battle_of_Petsamo_(1939),"November 30, 1939 to March 12, 1940","Petsamo, Finland",Soviet advance,Captain (armed forces),"181 dead,
301 wounded,
72 captured",Two divisions,Three companies,L,"89 dead,
135 wounded,
16 captured",
5202,Battle_of_Drøbak_Sound,9 April 1940,"Drøbak Sound, Norway","Norwegian victory

German invasion force delayed
Flight of the Storting, Royal Family, and gold reserve",Birger Eriksen,"1 heavy cruiser sunk
1 heavy cruiser damaged
650–800 dead[9]
ca. 50 wounded[7]
c. 1,000 temporarily taken prisoner","2 heavy cruisers
1 light cruiser
1 torpedo boat
2 minesweepers","Oscarsborg Fortress:
Main Battery:
3 × 28 cm coastal guns
4 × anti-aircraft machine guns[1]
Kopås Battery:
3 × 15 cm coastal guns
Husvik Battery:
2 × 57 mm mine barrier protection guns
Torpedo Battery:
3 × double[2] land based underwater launch tunnels for 45 cm torpedoes[3]
3 × single[4][5][6] land based underwater launch tunnels for 45 cm torpedoes[3]
Seiersten Battery:
2 × Bofors 40 mm L/60
anti-aircraft guns
3 × Colt M/29 7,92 mm anti-aircraft machine guns
Håøya Battery:
4 × Colt M/29 7,92 mm anti-aircraft machine guns
Nesset Battery:
4 × 57 mm Cockerill L/60 guns
Infantry support:
One company of the Norwegian Royal Guards
Total crew:
45 officers
293 NCOs and men,
69 officers and men of the Norwegian Royal Guards[7]",L,"No casualties, although most buildings above ground at the Main Battery were burnt to the ground.[8]",
5210,Battle_of_Dombås,14–19 April 1940,"Dombås area in Dovre, Gudbrandsdal, Norway","Norwegian tactical victory

German Fallschirmjäger company blocks the north-south and west-east rail and road systems for five days before surrendering",List of Knight's Cross of the Iron Cross recipients (Sa–Schr),"20 dead
20 wounded[7]","14–17 April:
•2nd Battalion,
Infantry Regiment 11[3]
•No. 1 Company of
Infantry Regiment 5[4]
17–19 April:
•1st Battalion,
Infantry Regiment 11
•No. 1 Company of
Infantry Regiment 5
•Machine gun platoon from NoAAS Jagevingen
•40 mm anti-aircraft gun[5]
19 April:
•Rail mounted howitzer manned by Royal Marines[2]","•4 officers and 181 men of the 1st Company,
1st Regiment of the
7th Flieger Division[6]",R,"During the drop:
15 dead,
20 wounded
and 14 injured.
7 Junkers Ju 52s shot down,
an eighth Ju 52 landed in Sweden and sank through a frozen lake.
During the fighting:
6 killed
6 wounded
ca. 150 captured",
5211,Battle_of_Narvik,9 April 1940,"Narvik, Norway",German victory,Norway,One cargo ship scuttled (no fatalities),10 destroyers,2 coastal defence ships,L,"2 coastal defence ships sunk
343 dead",
5224,Battle_of_France,10 May – 25 June 1940 (46 days),"France, Low Countries","Decisive Axis victory

Creation of the Axis puppet state Vichy regime in Southern France
Creation of Free France
Beginning of guerrilla warfare by French Resistance cells
Japanese occupation of French Indochina",Heinz Guderian,"360,000 dead or wounded,
1,900,000 captured
2,233 aircraft lost[15]
4,071 French tanks[f]
Total: 2,260,000 casualties","Allies: 144 divisions
13,974 guns
3,383-[1]4,071 French tanks[3]
2,935 aircraft[4][b]
3,300,000 troops
Alps on 20 June
~150,000 French","Germany: 141 divisions[1]
7,378 guns[1]
2,445 tanks[1]
5,638 aircraft[2][a]
3,350,000 troops
Alps on 20 June
300,000 Italians",L,"Germany:
27,074 dead[c] 111,034 wounded, 18,384 missing,[5][6][7] 1,129 aircrew killed[8] (c. 27,000 dead)
1,236 aircraft lost[5][9]
795[10]822 tanks destroyed[d]
157,621 total casualties
Italy: 6,055[e]

Total: 163,676 casualties",
5250,Battle_of_Dunkirk,26 May – 4 June 1940,"Dunkirk, France",Allied forces expelled from Dunkirk. Allied withdrawal to Britain.,"John Vereker, 6th Viscount Gort","(Estimated)
20,000 killed and wounded
100 tanks
156 aircraft[10]","approx. 800,000","approx. 400,000
338,226 evacuated[4]",L,"Allies
18,000 Killed (British and French soldiers especially with some Canadians and Belgians)
British
The loss : 68,111 (killed, wounded or captured) ~3,500 killed
63,879 vehicles including tanks and motorcycles
2,472 field guns
6 destroyers
over 200 marine vessels
over 100 aircraft[5][6]
French
35,000 captured
3 destroyers[7][8][9]",
5265,Battle_of_Britain,"10 July – 31 October 1940[nb 3]
(3 months and 3 weeks)",British airspace,British victory[3][nb 4],Hugh Dowding,"2,585 aircrew killed and missing, 925 captured, 735 wounded[13]
1,977 aircraft destroyed, 1,634 in combat and 343 non-combat[14]","2,550 serviceable aircraft. [nb 6]
[nb 7]","1,963 serviceable aircraft [nb 5]",L,"544 aircrew (RAF Fighter Command), 718 (RAF Bomber Command), 280 (RAF Coastal Command) killed[8][9][10]
422 aircrew wounded[11]
1,744 aircraft destroyed[nb 8]",
5302,Battle_of_Denmark_Strait,24 May 1941,Denmark Strait,German victory,Günther Lütjens,"1 battlecruiser sunk
1 battleship damaged
1,428 dead
9 wounded","1 battleship
1 battlecruiser
2 heavy cruisers
Did not participate in combat:
6 destroyers (on approach detached evening before battle)","1 battleship
1 heavy cruiser",L,"1 battleship damaged
5 wounded",
5320,Operation_Barbarossa,"22 June – 5 December 1941
(5 months, 1 week and 6 days)",Eastern and Northern Europe,See Aftermath,Benito Mussolini,"Total military casualties:
4,973,820

Breakdown

Casualties of 1941:

Based on Soviet archives:[16]

566,852 killed in action
235,339 died from non-combat causes
1,336,147 sick or wounded via combat and non-combat causes
2,335,482 missing in action or captured
c. 500,000 Soviet reservists captured while still mobilizing



21,200 aircraft lost[13]
20,500 tanks destroyed[17]","Frontline strength (initial)


2.6–2.9 million personnel[4][5][6]
11,000 tanks[7][8]
7,133–9,100 military aircraft[9][10][11]","Frontline strength (initial)


3.8 million personnel[1][2]
3,350 tanks[3][1]
2,770 aircraft[3]
7,200 artillery pieces[1][3]",L,"Total military casualties:
1,000,000+

Breakdown

Casualties of 1941:

According to German Army medical reports (including Army Norway):[12]

186,452 killed
40,157 missing
655,179 wounded in action[a]



2,827 aircraft destroyed[13]
2,839 tanks destroyed[14]


Other involved country losses

 114,000+ casualties (at least 39,000 dead or missing)[b]
 8,700 casualties[c]
 5,000+ casualties[d]",
5341,Battle_of_Kiev_(1941),23 August – 26 September 1941,"East and South of Kiev, Ukrainian SSR, Soviet Union",German victory,Fedor von Bock,"Total: 700,544[1]
Killed, captured or missing: 616,304
Wounded: 84,240
Destroyed: 411 tanks and SPGs,[2] 343 aircraft[2]","627,000[1]","500,000",L,"Total: 128,670[a]
Killed: 26,856
Wounded: 96,796
Prisoners or Missing: 5,008",
5353,Battle_of_Smolensk_(1941),"8 July – 31 July 1941
(German historiography)[1]:267
10 July – 10 September 1941
(Soviet historiography)[2][1]:267","Smolensk (Russian SFSR) and surroundings, Soviet Union
Coordinates: 54°46′58″N 32°02′43″E﻿ / ﻿54.78278°N 32.04528°E﻿ / 54.78278; 32.04528",German victory,Ivan Sergeyevich Gorbachyov,Destroyed: 214 tanks[4],"430,000 men
1,000–1780 tanks[3][4]
1,500 aircraft[3]","581,600 men[5]
1,545 tanks[b]",R,"Total: 759,947[5]
killed: 186,144
wounded: 273,803
captured: 300,000[6][7]
destroyed: 1,348–3,273 tanks and SPGs,[8][a] 903 aircraft[9]",
5354,Battle_of_Uman,15 July–8 August 1941,"Uman, Western Ukraine",Axis victory,Generalfeldmarschall,"Total: 203,000
Killed or wounded: 100,000
Captured: 103,000
Captured or Destroyed: 317 tanks","300,000
317 tanks and 858 guns","400,000
600 tanks",L,"Total: 20,853[a]
Killed: 4,610
Wounded: 15,458
Captured or Missing: 785",
5374,Siege_of_Tobruk,10 April – 27 November 1941,"Tobruk, Libya
32°04′34″N 23°57′41″E﻿ / ﻿32.07611°N 23.96139°E﻿ / 32.07611; 23.96139Coordinates: 32°04′34″N 23°57′41″E﻿ / ﻿32.07611°N 23.96139°E﻿ / 32.07611; 23.96139",Allied victory,Leslie Morshead,"12,296
74–150 aircraft","35,000","27,000",L,"5,989",
5382,Battle_of_Rostov_(1941),21–27 November 1941,"Rostov-on-Don region, USSR",Soviet victory,Wikipedia:Citation needed,"20,000 estimated",1st Panzer Army,Southern Front,R,"33,000[1]",
5405,Battle_of_Wake_Island,8–23 December 1941,"Wake Island, U.S. territory",Japanese pyrrhic victory,Shigeyoshi Inoue,"52 killed
49 wounded
2 missing
12 aircraft lost[3]
433 captured[4]","449 USMC personnel consisting of:

399 infantry of the 1st Defense Battalion
50 det. VMF-211

6 coastal artillery pieces
12 aircraft
12 anti-aircraft guns
68 U.S. Navy personnel
5 U.S. Army personnel","First Attempt (11 December):
3 light cruisers
6 destroyers
2 patrol boats
2 troop transports
Reinforcements arriving for Second Attempt (23 December):
2 aircraft carriers
2 heavy cruisers
2 destroyers
2,500 infantry[1]",L,"First attempt:
2 destroyers sunk
325 sailors killed
Second attempt:
2 transports sunk
2 patrol boats wrecked
7–8 aircraft shot down
20 aircraft damaged[Note 1]
~320 killed
~333 wounded",
5422,Battle_of_Manado,11–13 January 1942,"Manado, Northern Celebes island",Japanese victory,B. F. A. Schilmöller,"32 killed
32 wounded","2,500 naval infantry
500 paratroopers
20 aircraft","1,500 infantry",L,"140 killed
48 captured",
5427,Battle_of_Moscow,2 October 1941 – 7 January 1942,"Moscow Oblast, Russian SFSR, USSR","Decisive Soviet victory
Failure of Operation Barbarossa",Adolf Hitler,"650,000–1,000,000(see §7)","As of 1 October 1941:
1,250,000–1,400,000 men,
3,232 tanks,
7,600 guns,
Initial aircraft: 936 (545 serviceable)[6] At time of counter offensive: 1,376[9]","As of 1 October 1941:
1,183,693–1,929,406 men,
[1][2][3][4] 1,000 tanks,[5]
14,000 guns,
Initial aircraft: 549 serviceable[6][7][8] At time of counter offensive: 599[9]",L,"174,000–400,000(see §7)",
5461,Battle_of_Java,28 February – 12 March 1942,"Java, Dutch East Indies",Japanese victory,Hein ter Poorten,Unknown,"about 34,000 troops","Netherlands: 25,000; Britain: about 5,500; Australia: about 3,000;
U.S.: about 750

Total: about 34,250 troops",L,"Netherlands: ?
Britain: ?
Australia: 36 dead, 60 wounded;
U.S.:
US Army 24 KIA; 534 POW
US Navy 801 KIA; 369 POW.
US Navy casualties: USS Houston and Asheville
Of POWS 164 died (Army & Navy).",
